,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Head & Neck: Craniofacial
,Liver MELD / PELD <15,,9,0,9,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0,0,0
,Heart Status 1A,,4,0,0,0,0,4,0,0,0
,Heart Status 1B,,4,0,0,0,0,4,0,0,0
,Heart Status 2,,5,0,0,0,0,5,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,12,12,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,19,19,0,0,0,0,0,0,0
TXCT-TX1 Seton Medical Center Austin,All Types,,10,0,0,0,0,10,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,6,0,0,0,0,6,0,0,0
TXDC-TX1 Driscoll Children's Hospital,All Types,,6,6,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,5,5,0,0,0,0,0,0,0
TXDL-TX1 Dell Children's Medical Center,All Types,,2,0,0,0,0,2,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0
,Heart Status 2,,1,0,0,0,0,1,0,0,0
TXDM-TX1 North Austin Medical Center,All Types,,107,107,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,69,69,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,38,38,0,0,0,0,0,0,0
TXDR-TX1 Doctor's Hospital at Renaissance,All Types,,222,222,0,0,0,0,0,0,0
,
,Kidney/Pancreas/Kidney-Pancreas: Active,,164,164,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,58,58,0,0,0,0,0,0,0
TXFW-TX1 Texas Health Harris Methodist Fort Worth Hospital,All Types,,131,131,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,95,95,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,36,36,0,0,0,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,All Types,,268,258,0,2,7,7,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0,0
,Adult Status 4,,3,0,0,0,0,3,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,146,143,0,0,6,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,117,114,0,2,1,0,0,0,0
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",All Types,,315,225,33,0,5,55,3,1,0
,Liver Status 7 (Inactive),,7,0,7,0,0,0,0,0,0
,Liver MELD / PELD <15,,10,0,10,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,7,0,7,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,11,0,0,0,0,11,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 4,,33,0,0,0,0,33,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0
,Adult Status 6,,8,0,0,0,0,8,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,2,0,0,0,0,0,2,1,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,144,141,0,0,3,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,86,84,0,0,2,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,All Types,,"1,072",827,233,0,0,33,10,0,0
,Liver Status 7 (Inactive),,36,0,36,0,0,0,0,0,0
,Liver MELD / PELD <15,,117,0,117,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,36,0,36,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,25,0,25,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,17,0,17,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,11,0,0,0,0,11,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,11,0,0,0,0,11,0,0,0
,Adult Status 6,,8,0,0,0,0,8,0,0,0
,
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Inactive,,4,0,0,0,0,0,4,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,648,648,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,179,179,0,0,0,0,0,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,All Types,,"1,704","1,545",150,9,8,20,0,0,0
,Liver Status 7 (Inactive),,27,0,27,0,0,0,0,0,0
,Liver MELD / PELD <15,,58,0,58,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,23,0,23,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,21,0,21,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,20,0,20,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0
,Adult Status 4,,10,0,0,0,0,10,0,0,0
,Adult Status 6,,4,0,0,0,0,4,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,389","1,386",0,3,7,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,165,159,0,6,1,0,0,0,0
TXJS-TX1 University of Texas Medical Branch at Galveston,All Types,,535,470,60,2,0,11,3,0,0
,Liver Status 7 (Inactive),,14,0,14,0,0,0,0,0,0
,Liver MELD / PELD <15,,29,0,29,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,8,0,8,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,7,0,7,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,8,0,0,0,0,8,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0
,Adult Status 6,,2,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 1 to < 20,,3,0,0,0,0,0,3,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,340,340,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,132,130,0,2,0,0,0,0,0
TXLP-TX1 Las Palmas Medical Center,All Types,,197,197,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,143,143,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,54,54,0,0,0,0,0,0,0
TXMC-TX1 Methodist Dallas Medical Center,All Types,,568,494,70,1,7,0,0,0,1
,Liver Status 7 (Inactive),,25,0,25,0,0,0,0,0,0
,Liver MELD / PELD <15,,24,0,24,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,14,0,14,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,5,0,5,0,0,0,0,0,0
,
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,272,269,0,0,3,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,230,225,0,1,4,0,0,0,0
,VCA: Active,,1,0,0,0,0,0,0,0,1
TXMH-TX1 Houston Methodist Hospital,All Types,,"1,766","1,359",370,10,28,63,19,3,0
,Liver Status 7 (Inactive),,37,0,37,0,0,0,0,0,0
,Liver MELD / PELD <15,,209,0,209,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,49,0,49,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,33,0,33,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,33,0,33,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 35+,,5,0,5,0,0,0,0,0,0
,Heart Status 7 (Inactive),,12,0,0,0,0,12,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 3,,7,0,0,0,0,7,0,0,0
,Adult Status 4,,13,0,0,0,0,13,0,0,0
,Adult Status 5,,5,0,0,0,0,5,0,0,0
,Adult Status 6,,23,0,0,0,0,23,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,4,0,0,0,0,0,4,1,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,5,0,0,0,0,0,5,1,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,5,0,0,0,0,0,5,1,0
,Lung/Heart-Lung: Inactive,,3,0,0,0,0,0,3,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,011","1,008",0,3,13,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,358,351,0,7,15,0,0,0,0
TXPL-TX1 Medical City Fort Worth,All Types,,146,145,0,0,4,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,105,105,0,0,3,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,41,40,0,0,1,0,0,0,0
TXPM-TX1 Parkland Health and Hospital System,All Types,,155,155,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,112,112,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,43,43,0,0,0,0,0,0,0
TXRM-TX1 Christus Santa Rosa Hospital Medical Center,All Types,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,1,1,0,0,0,0,0,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,All Types,,733,553,134,0,0,48,20,4,0
,Liver Status 1A,,1,0,1,0,0,0,0,0,0
,Liver Status 7 (Inactive),,32,0,32,0,0,0,0,0,0
,Liver MELD / PELD <15,,64,0,64,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,21,0,21,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,9,0,9,0,0,0,0,0,0
,
,Liver MELD / PELD 25-29,,6,0,6,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,12,0,0,0,0,12,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,25,0,0,0,0,25,0,0,0
,Adult Status 5,,5,0,0,0,0,5,0,0,0
,Adult Status 6,,4,0,0,0,0,4,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,2,0,0,0,0,0,2,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,7,0,0,0,0,0,7,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,6,0,0,0,0,0,6,2,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,1,0
,Lung/Heart-Lung: Inactive,,4,0,0,0,0,0,4,1,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,279,279,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,274,274,0,0,0,0,0,0,0
TXSW-TX1 Scott and White Memorial Hospital,All Types,,221,207,0,5,6,5,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,1,0,0,0,0,1,0,0,0
,Adult Status 6,,2,0,0,0,0,2,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,159,157,0,0,2,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,58,50,0,5,4,0,0,0,0
TXTC-TX1 Texas Children's Hospital,All Types,,119,52,21,0,0,46,2,0,0
,Liver Status 7 (Inactive),,6,0,6,0,0,0,0,0,0
,Liver MELD / PELD <15,,7,0,7,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 1A,,7,0,0,0,0,7,0,0,0
,Heart Status 1B,,7,0,0,0,0,7,0,0,0
,Heart Status 2,,17,0,0,0,0,17,0,0,0
,Heart Status 7 (Inactive),,13,0,0,0,0,13,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,1,0,0,0,0,0,1,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 2",,1,0,0,0,0,0,1,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,20,20,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,32,32,0,0,0,0,0,0,0
TXTX-TX1 Baylor University Medical Center,All Types,,"1,102","1,002",52,1,14,27,15,0,0
,Liver Status 7 (Inactive),,17,0,17,0,0,0,0,0,0
,
,Liver MELD / PELD <15,,21,0,21,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,3,0,3,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,9,0,0,0,0,9,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0
,Adult Status 4,,12,0,0,0,0,12,0,0,0
,Adult Status 5,,3,0,0,0,0,3,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,8,0,0,0,0,0,8,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Inactive,,6,0,0,0,0,0,6,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,638,632,0,0,7,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,377,370,0,1,7,0,0,0,0
TXTY-TX1 East Texas Medical Center,All Types,,129,129,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,76,76,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,53,53,0,0,0,0,0,0,0
TXUC-TX1 University Children’s Health,All Types,,14,12,2,0,0,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,5,5,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,7,7,0,0,0,0,0,0,0
TXVA-TX1 Michael E. DeBakey VA Medical Center,All Types,,396,362,37,0,0,0,0,0,0
,Liver Status 7 (Inactive),,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD <15,,21,0,21,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,5,0,5,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,281,281,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,81,81,0,0,0,0,0,0,0
TXWH-TX1 Wilford Hall Medical Center,All Types,,3,2,0,0,3,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,3,2,0,0,3,0,0,0,0
