,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Intestine
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,270,261,0,1,9,0,0,0
WAUW-TX1 University of Washington Medical Center,All Types,,691,481,129,0,22,36,29,2
,Liver Status 7 (Inactive),,45,0,45,0,0,0,0,0
,Liver MELD / PELD <15,,35,0,35,0,0,0,0,0
,Liver MELD / PELD 15-19,,21,0,21,0,0,0,0,0
,Liver MELD / PELD 20-24,,15,0,15,0,0,0,0,0
,Liver MELD / PELD 25-29,,9,0,9,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0,0
,Heart Status 7 (Inactive),,17,0,0,0,0,17,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0
,Adult Status 4,,8,0,0,0,0,8,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0
,Adult Status 6,,8,0,0,0,0,8,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,12,0,0,0,0,0,12,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,7,0,0,0,0,0,7,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,4,0,0,0,0,0,4,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0
,Lung/Heart-Lung: Inactive,,5,0,0,0,0,0,5,0
,Intestine Status 1,,1,0,0,0,0,0,0,1
,Intestine Temporarily inactive,,1,0,0,0,0,0,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,247,231,0,0,17,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,255,250,0,0,5,0,0,0
WAVM-TX1 Virginia Mason Medical Center,All Types,,286,274,0,2,10,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,108,105,0,0,3,0,0,0
,
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,178,169,0,2,7,0,0,0
