,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,GU: Uterus,Upper Limb: Bilateral
,Kidney/Pancreas/Kidney-Pancreas: Active,,88,88,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,1,1,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,108,108,0,0,0,0,0,0,0,0,0
PALV-TX1 Lehigh Valley Hospital,All Types,,290,279,0,3,13,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,187,181,0,0,7,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,105,98,0,3,6,0,0,0,0,0,0
PAPH-TX1 UPMC Hamot,All Types,,81,81,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,54,54,0,0,0,0,0,0,0,0,0
,
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,27,27,0,0,0,0,0,0,0,0,0
PAPT-TX1 University of Pittsburgh Medical Center,All Types,,850,716,108,15,28,14,9,0,4,0,0
,Liver Status 7 (Inactive),,25,0,25,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,48,0,48,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,22,0,22,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,8,0,8,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,5,0,5,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 4,,8,0,0,0,0,8,0,0,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,1,0,0,0,0,0,1,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,5,0,0,0,0,0,5,0,0,0,0
,Lung/Heart-Lung: Inactive,,1,0,0,0,0,0,1,0,0,0,0
,Intestine Status 1,,2,0,0,0,0,0,0,0,2,0,0
,Intestine Temporarily inactive,,2,0,0,0,0,0,0,0,2,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,309,304,0,5,11,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,422,412,0,10,17,0,0,0,0,0,0
PARH-TX1 Reading Hospital,All Types,,121,117,4,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,2,0,2,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,48,48,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,69,69,0,0,0,0,0,0,0,0,0
PASC-TX1 St. Christopher's Hospital for Children,All Types,,11,11,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,11,11,0,0,0,0,0,0,0,0,0
PATJ-TX1 Thomas Jefferson University Hospital,All Types,,756,623,108,5,16,19,0,0,0,0,0
,Liver Status 7 (Inactive),,18,0,18,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,65,0,65,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,13,0,13,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,7,0,7,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,5,0,5,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,4,0,0,0,0,4,0,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0,0,0
,Adult Status 6,,8,0,0,0,0,8,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,355,349,0,1,7,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,285,274,0,4,9,0,0,0,0,0,0
,
PATU-TX1 Temple University Hospital,All Types,,461,355,11,0,22,10,70,0,0,0,0
,Liver Status 7 (Inactive),,2,0,2,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,4,0,4,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,3,0,3,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 4,,4,0,0,0,0,4,0,0,0,0,0
,Adult Status 5,,3,0,0,0,0,3,0,0,0,0,0
,Adult Status 6,,2,0,0,0,0,2,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,26,0,0,0,0,0,26,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,17,0,0,0,0,0,17,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,6,0,0,0,0,0,6,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,3,0,0,0,0,0,3,0,0,0,0
,Lung/Heart-Lung: Inactive,,18,0,0,0,0,0,18,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,181,173,0,0,9,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,193,182,0,0,13,0,0,0,0,0,0
PAUP-TX1 Hospital of the University of Pennsylvania,All Types,,"1,365","1,171",107,13,32,55,28,2,0,1,1
,Liver Status 7 (Inactive),,31,0,31,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,29,0,29,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,22,0,22,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,5,0,5,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,20,0,20,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,16,0,0,0,0,16,0,0,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0,0,0
,Adult Status 4,,26,0,0,0,0,26,0,0,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 6,,8,0,0,0,0,8,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,7,0,0,0,0,0,7,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,4,0,0,0,0,0,4,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,10,0,0,0,0,0,10,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,3,0,0,0,0,0,3,0,0,0,0
,Lung/Heart-Lung: Inactive,,4,0,0,0,0,0,4,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,484,482,0,2,12,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,704,689,0,11,20,0,0,0,0,0,0
,VCA: Active,,2,0,0,0,0,0,0,0,0,1,1
PAVA-TX1 VA Pittsburgh Healthcare System,All Types,,607,566,44,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,13,0,13,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,19,0,19,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,7,0,7,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,1,0,1,0,0,0,0,0,0,0,0
,
,Liver MELD / PELD 25-29,,4,0,4,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,462,462,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,104,104,0,0,0,0,0,0,0,0,0
