,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"8,640","8,532",0,37,133,0,0,0,0
CABE-TX1 Saint Bernardine Medical Center,All Types,,1,1,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,1,1,0,0,0,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,All Types,,35,31,0,0,0,4,0,0,0
,Heart Status 1B,,1,0,0,0,0,1,0,0,0
,Heart Status 2,,1,0,0,0,0,1,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,6,6,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,25,25,0,0,0,0,0,0,0
CACL-TX1 Childrens Hospital Los Angeles,All Types,,67,28,31,0,0,8,0,0,0
,Liver Status 1B,,1,0,1,0,0,0,0,0,0
,
,Liver Status 7 (Inactive),,11,0,11,0,0,0,0,0,0
,Liver MELD / PELD <15,,14,0,14,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 1A,,3,0,0,0,0,3,0,0,0
,Heart Status 1B,,2,0,0,0,0,2,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,15,15,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,13,13,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,All Types,,"1,408","1,192",132,3,12,92,13,0,0
,Liver Status 7 (Inactive),,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD <15,,83,0,83,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,23,0,23,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,13,0,13,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 1B,,1,0,0,0,0,1,0,0,0
,Heart Status 7 (Inactive),,11,0,0,0,0,11,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,7,0,0,0,0,7,0,0,0
,Adult Status 4,,31,0,0,0,0,31,0,0,0
,Adult Status 5,,9,0,0,0,0,9,0,0,0
,Adult Status 6,,31,0,0,0,0,31,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Inactive,,4,0,0,0,0,0,4,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,879,869,0,2,8,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,328,323,0,1,4,0,0,0,0
CAGH-TX1 Scripps Green Hospital,All Types,,472,417,55,3,10,0,0,0,0
,Liver Status 7 (Inactive),,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD <15,,18,0,18,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,15,0,15,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,12,0,12,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,173,171,0,0,4,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,250,246,0,3,6,0,0,0,0
,
CAIM-TX1 University of California Irvine Medical Center,All Types,,743,738,0,0,5,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,536,534,0,0,2,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,207,204,0,0,3,0,0,0,0
CALA-TX1 Harbor UCLA Medical Center,All Types,,509,509,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,378,378,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,131,131,0,0,0,0,0,0,0
CALB-TX1 St Mary Medical Center,All Types,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,1,1,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,All Types,,"1,495","1,363",99,5,28,18,0,0,0
,Liver Status 7 (Inactive),,26,0,26,0,0,0,0,0,0
,Liver MELD / PELD <15,,29,0,29,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,22,0,22,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,15,0,15,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,6,0,6,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 1A,,2,0,0,0,0,2,0,0,0
,Heart Status 2,,3,0,0,0,0,3,0,0,0
,Heart Status 7 (Inactive),,6,0,0,0,0,6,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0
,Adult Status 4,,3,0,0,0,0,3,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,062","1,039",0,2,21,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,333,324,0,3,7,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,All Types,,58,53,6,0,0,0,0,0,0
,Liver Status 7 (Inactive),,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD <15,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,4,4,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,48,48,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,All Types,,161,137,14,3,0,11,0,0,6
,Liver Status 7 (Inactive),,5,0,5,0,0,0,0,0,0
,Liver MELD / PELD <15,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0
,
,Heart Status 1B,,5,0,0,0,0,5,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0
,Adult Status 4,,1,0,0,0,0,1,0,0,0
,Intestine Status 1,,4,0,0,0,0,0,0,0,4
,Intestine Temporarily inactive,,2,0,0,0,0,0,0,0,2
,Kidney/Pancreas/Kidney-Pancreas: Active,,26,24,0,2,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,114,113,0,1,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,All Types,,"2,121","1,879",245,2,30,8,0,0,0
,Liver Status 7 (Inactive),,158,0,158,0,0,0,0,0,0
,Liver MELD / PELD <15,,29,0,29,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,11,0,11,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,14,0,14,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,31,0,31,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,4,0,0,0,0,4,0,0,0
,Adult Status 4,,4,0,0,0,0,4,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,181,180,0,1,5,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,700","1,699",0,1,25,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,All Types,,968,807,136,0,0,36,5,1,0
,Liver Status 7 (Inactive),,17,0,17,0,0,0,0,0,0
,Liver MELD / PELD <15,,67,0,67,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,25,0,25,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,18,0,18,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,8,0,8,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,10,0,0,0,0,10,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,15,0,0,0,0,15,0,0,0
,Adult Status 5,,2,0,0,0,0,2,0,0,0
,Adult Status 6,,8,0,0,0,0,8,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,2,0,0,0,0,0,2,1,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,490,490,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,317,317,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,All Types,,"5,365","4,667",585,19,100,24,42,2,0
,Liver Status 7 (Inactive),,198,0,198,0,0,0,0,0,0
,Liver MELD / PELD <15,,187,0,187,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,61,0,61,0,0,0,0,0,0
,
,Liver MELD / PELD 20-24,,30,0,30,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,106,0,106,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,7,0,0,0,0,7,0,0,0
,Adult Status 3,,3,0,0,0,0,3,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0
,Adult Status 5,,3,0,0,0,0,3,0,0,0
,Adult Status 6,,6,0,0,0,0,6,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,6,0,0,0,0,0,6,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,13,0,0,0,0,0,13,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,5,0,0,0,0,0,5,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,5,0,0,0,0,0,5,1,0
,Lung/Heart-Lung: Inactive,,13,0,0,0,0,0,13,1,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"2,988","2,957",0,1,33,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,783","1,710",0,18,67,0,0,0,0
CASG-TX1 Sutter Medical Center Sacramento,All Types,,9,0,0,0,0,9,0,0,0
,Heart Status 7 (Inactive),,6,0,0,0,0,6,0,0,0
,Adult Status 4,,3,0,0,0,0,3,0,0,0
CASH-TX1 Sharp Memorial Hospital,All Types,,561,550,0,3,16,11,0,0,0
,Adult Status 2,,3,0,0,0,0,3,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,7,0,0,0,0,7,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,397,396,0,1,9,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,157,154,0,2,7,0,0,0,0
CASJ-TX1 Saint Joseph Hospital,All Types,,357,357,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,194,194,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,163,163,0,0,0,0,0,0,0
CASM-TX1 University of California Davis Medical Center,All Types,,"1,665","1,665",0,0,3,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,751,751,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,914,914,0,0,3,0,0,0,0
CASU-TX1 Stanford Health Care,All Types,,"2,082","1,834",224,1,9,17,31,5,1
,Liver Status 7 (Inactive),,63,0,63,0,0,0,0,0,0
,Liver MELD / PELD <15,,76,0,76,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,22,0,22,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,22,0,22,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,39,0,39,0,0,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,
,Adult Status 4,,10,0,0,0,0,10,0,0,0
,Adult Status 5,,2,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 20 to < 30,,1,0,0,0,0,0,1,1,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,1,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,6,0,0,0,0,0,6,1,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,7,0,0,0,0,0,7,2,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,5,0,0,0,0,0,5,0,0
,Lung/Heart-Lung: Inactive,,9,0,0,0,0,0,9,0,0
,Intestine Non-urgent,,1,0,0,0,0,0,0,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,129,128,0,1,1,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,706","1,706",0,0,8,0,0,0,0
CASV-TX1 St. Vincent Medical Center,All Types,,1,1,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,1,1,0,0,0,0,0,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,All Types,,"2,453","1,930",502,21,6,28,21,0,27
,Liver Status 1A,,1,0,1,0,0,0,0,0,0
,Liver Status 7 (Inactive),,154,0,154,0,0,0,0,0,0
,Liver MELD / PELD <15,,186,0,186,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,74,0,74,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,30,0,30,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,50,0,50,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 35+,,3,0,3,0,0,0,0,0,0
,Heart Status 2,,1,0,0,0,0,1,0,0,0
,Heart Status 7 (Inactive),,12,0,0,0,0,12,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,5,0,0,0,0,5,0,0,0
,Adult Status 4,,7,0,0,0,0,7,0,0,0
,Adult Status 6,,2,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,7,0,0,0,0,0,7,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,4,0,0,0,0,0,4,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,2,0,0,0,0,0,2,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Inactive,,5,0,0,0,0,0,5,0,0
,Intestine Status 1,,1,0,0,0,0,0,0,0,1
,Intestine Non-urgent,,18,0,0,0,0,0,0,0,18
,Intestine Temporarily inactive,,8,0,0,0,0,0,0,0,8
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,684","1,672",0,14,5,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,265,258,0,7,1,0,0,0,0
CAUH-TX1 Keck Hospital of USC,All Types,,"1,662","1,400",242,1,4,19,32,0,0
,Liver Status 7 (Inactive),,24,0,24,0,0,0,0,0,0
,Liver MELD / PELD <15,,135,0,135,0,0,0,0,0,0
,
,Liver MELD / PELD 15-19,,32,0,32,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,23,0,23,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,25,0,25,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,7,0,0,0,0,7,0,0,0
,Adult Status 4,,9,0,0,0,0,9,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,5,0,0,0,0,0,5,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,9,0,0,0,0,0,9,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,6,0,0,0,0,0,6,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,5,0,0,0,0,0,5,0,0
,Lung/Heart-Lung: Inactive,,7,0,0,0,0,0,7,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,019","1,017",0,0,2,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,385,383,0,1,2,0,0,0,0
