,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0,0
,Adult Status 3,,3,0,0,0,0,3,0,0,0,0
,Adult Status 4,,8,0,0,0,0,8,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,41,41,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,1,1,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,42,42,0,0,0,0,0,0,0,0
FLSH-TX1 Ascension Sacred Heart Pensacola,All Types,,194,194,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,143,143,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,51,51,0,0,0,0,0,0,0,0
FLSL-TX1 Mayo Clinic Florida,All Types,,987,842,70,8,23,34,20,1,0,0
,Liver Status 7 (Inactive),,30,0,30,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,21,0,21,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,7,0,7,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,10,0,10,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0,0,0
,Adult Status 2,,5,0,0,0,0,5,0,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0,0
,Adult Status 4,,8,0,0,0,0,8,0,0,0,0
,
,Adult Status 5,,3,0,0,0,0,3,0,0,0,0
,Adult Status 6,,13,0,0,0,0,13,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,11,0,0,0,0,0,11,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,6,0,0,0,0,0,6,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,3,0,0,0,0,0,3,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,505,489,0,2,14,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,368,353,0,6,9,0,0,0,0,0
FLTG-TX1 Tampa General Hospital,All Types,,996,835,119,0,17,26,15,0,0,0
,Liver Status 7 (Inactive),,14,0,14,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,56,0,56,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,25,0,25,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,21,0,21,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,3,0,3,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,4,0,0,0,0,4,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0,0
,Adult Status 4,,16,0,0,0,0,16,0,0,0,0
,Adult Status 6,,3,0,0,0,0,3,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,4,0,0,0,0,0,4,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,3,0,0,0,0,0,3,0,0,0
,Lung/Heart-Lung: Inactive,,7,0,0,0,0,0,7,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,588,579,0,0,11,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,262,256,0,0,6,0,0,0,0,0
FLUF-TX1 UF Health Shands Hospital,All Types,,621,521,33,1,12,65,10,0,0,0
,Liver Status 7 (Inactive),,5,0,5,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,9,0,9,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,5,0,5,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,9,0,9,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0
,Heart Status 1A,,12,0,0,0,0,12,0,0,0,0
,Heart Status 1B,,2,0,0,0,0,2,0,0,0,0
,Heart Status 2,,12,0,0,0,0,12,0,0,0,0
,Heart Status 7 (Inactive),,13,0,0,0,0,13,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0
,Adult Status 3,,8,0,0,0,0,8,0,0,0,0
,Adult Status 4,,17,0,0,0,0,17,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,3,0,0,0,0,0,3,0,0,0
,
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,3,0,0,0,0,0,3,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,224,220,0,1,6,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,301,301,0,0,6,0,0,0,0,0
