,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,"Face, Scalp"
,Liver Status 7 (Inactive),,82,0,82,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,164,0,164,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,57,0,57,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,31,0,31,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,35,0,35,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,9,0,0,0,0,9,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0
,Adult Status 4,,3,0,0,0,0,3,0,0,0,0
,Adult Status 6,,9,0,0,0,0,9,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,2,0,0,0,0,0,2,0,0,0
,
,Lung/Heart-Lung: Lung Allocation Score >=50,,2,0,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Inactive,,1,0,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,681,681,0,1,4,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,512,503,0,13,6,0,0,0,0,0
,VCA: Active,,1,0,0,0,0,0,0,0,0,1
MANM-TX1 Tufts Medical Center,All Types,,311,213,0,0,0,103,0,0,0,0
,Heart Status 7 (Inactive),,22,0,0,0,0,22,0,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0,0
,Adult Status 3,,11,0,0,0,0,11,0,0,0,0
,Adult Status 4,,37,0,0,0,0,37,0,0,0,0
,Adult Status 5,,2,0,0,0,0,2,0,0,0,0
,Adult Status 6,,29,0,0,0,0,29,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,87,87,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,126,126,0,0,0,0,0,0,0,0
MAPB-TX1 Brigham and Women's Hospital,All Types,,479,388,0,5,12,33,45,1,0,0
,Heart Status 7 (Inactive),,8,0,0,0,0,8,0,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0
,Adult Status 4,,13,0,0,0,0,13,0,0,0,0
,Adult Status 6,,9,0,0,0,0,9,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,23,0,0,0,0,0,23,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,5,0,0,0,0,0,5,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,5,0,0,0,0,0,5,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,2,0,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Inactive,,10,0,0,0,0,0,10,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,121,117,0,1,3,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,283,271,0,4,9,0,0,0,0,0
MAUM-TX1 UMass Memorial Medical Center,All Types,,840,477,367,13,9,0,0,0,0,0
,Liver Status 7 (Inactive),,39,0,39,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,277,0,277,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,31,0,31,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,14,0,14,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,6,0,6,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,222,220,0,1,3,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,264,257,0,12,6,0,0,0,0,0
