,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine
,Lung/Heart-Lung: Lung Allocation Score >=50,,12,0,0,0,0,0,12,0,0
,Lung/Heart-Lung: Inactive,,6,0,0,0,0,0,6,0,0
,Intestine Status 1,,1,0,0,0,0,0,0,0,1
,Intestine Temporarily inactive,,1,0,0,0,0,0,0,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,336,333,0,1,4,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,311,273,0,36,9,0,0,0,0
"NYDS-TX1 State University of New York, Downstate Medical Center",All Types,,170,170,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,108,108,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,62,62,0,0,0,0,0,0,0
NYEC-TX1 Erie County Medical Center,All Types,,186,185,0,2,8,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,87,87,0,0,2,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,99,98,0,2,6,0,0,0,0
"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",All Types,,528,434,66,7,8,29,0,0,0
,Liver Status 7 (Inactive),,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD <15,,35,0,35,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,14,0,14,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,8,0,8,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,8,0,8,0,0,0,0,0,0
,Heart Status 7 (Inactive),,7,0,0,0,0,7,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,14,0,0,0,0,14,0,0,0
,Adult Status 5,,2,0,0,0,0,2,0,0,0
,Adult Status 6,,3,0,0,0,0,3,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,248,247,0,1,4,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,193,187,0,6,4,0,0,0,0
NYMA-TX1 Montefiore Medical Center,All Types,,"1,261","1,127",48,38,43,39,27,1,0
,Liver Status 7 (Inactive),,6,0,6,0,0,0,0,0,0
,Liver MELD / PELD <15,,6,0,6,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,19,0,19,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,8,0,8,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,6,0,6,0,0,0,0,0,0
,
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 3,,3,0,0,0,0,3,0,0,0
,Adult Status 4,,24,0,0,0,0,24,0,0,0
,Adult Status 5,,2,0,0,0,0,2,0,0,0
,Adult Status 6,,7,0,0,0,0,7,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 20 to < 30,,2,0,0,0,0,0,2,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,4,0,0,0,0,0,4,1,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Inactive,,14,0,0,0,0,0,14,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,484,474,0,2,8,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,679,652,0,36,35,0,0,0,0
NYMS-TX1 Mount Sinai Medical Center,All Types,,"2,175","1,821",272,46,27,87,0,0,5
,Liver Status 7 (Inactive),,83,0,83,0,0,0,0,0,0
,Liver MELD / PELD <15,,77,0,77,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,57,0,57,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,22,0,22,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,29,0,29,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,3,0,3,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,23,0,0,0,0,23,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0,0
,Adult Status 4,,39,0,0,0,0,39,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0
,Adult Status 6,,20,0,0,0,0,20,0,0,0
,Intestine Status 1,,4,0,0,0,0,0,0,0,4
,Intestine Temporarily inactive,,1,0,0,0,0,0,0,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,355","1,348",0,7,17,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,507,473,0,39,10,0,0,0,0
NYNS-TX1 North Shore University Hospital/Northwell Health,All Types,,476,431,23,0,0,22,0,0,0
,Liver Status 7 (Inactive),,3,0,3,0,0,0,0,0,0
,Liver MELD / PELD <15,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,11,0,11,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,3,0,3,0,0,0,0,0,0
,
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0
,Heart Status 7 (Inactive),,9,0,0,0,0,9,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0
,Adult Status 6,,7,0,0,0,0,7,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,398,398,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,33,33,0,0,0,0,0,0,0
NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,All Types,,"1,129","1,059",62,9,17,0,0,0,0
,Liver Status 7 (Inactive),,16,0,16,0,0,0,0,0,0
,Liver MELD / PELD <15,,37,0,37,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,3,0,3,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,538,536,0,1,10,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,533,523,0,8,7,0,0,0,0
NYSB-TX1 University Hospital of State University of New York at Stony Brook,All Types,,208,208,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,117,117,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,91,91,0,0,0,0,0,0,0
NYUC-TX1 New York University Medical Center,All Types,,717,579,112,4,14,20,12,1,0
,Liver Status 7 (Inactive),,35,0,35,0,0,0,0,0,0
,Liver MELD / PELD <15,,33,0,33,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,21,0,21,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,6,0,6,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,17,0,17,0,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0
,Adult Status 2,,2,0,0,0,0,2,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,9,0,0,0,0,9,0,0,0
,Adult Status 5,,3,0,0,0,0,3,0,0,0
,Adult Status 6,,3,0,0,0,0,3,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,2,0,0,0,0,0,2,1,0
,Lung/Heart-Lung: Inactive,,4,0,0,0,0,0,4,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,244,243,0,1,2,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,340,336,0,3,12,0,0,0,0
NYUM-TX1 State University of New York Upstate Medical University,All Types,,330,308,0,21,11,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,152,144,0,7,5,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,179,164,0,14,6,0,0,0,0
NYVA-TX1 James J. Peters VA Medical Center,All Types,,100,100,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,95,95,0,0,0,0,0,0,0
,
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,5,5,0,0,0,0,0,0,0
NYWC-TX1 Westchester Medical Center,All Types,,498,395,97,0,0,14,0,0,0
,Liver Status 1A,,1,0,1,0,0,0,0,0,0
,Liver Status 7 (Inactive),,18,0,18,0,0,0,0,0,0
,Liver MELD / PELD <15,,48,0,48,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,13,0,13,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,9,0,9,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,7,0,7,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0
,Heart Status 7 (Inactive),,4,0,0,0,0,4,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0
,Adult Status 6,,3,0,0,0,0,3,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,269,269,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,126,126,0,0,0,0,0,0,0
