,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,Massachusetts,,"3,659","2,844",688,30,53,104,38,1,3,0,0,0,0,0,1
,Michigan,,"2,620","2,185",256,38,37,143,39,0,7,0,0,0,0,0,0
,Minnesota,,"1,863","1,561",133,85,126,65,31,1,0,0,0,0,1,0,0
,Mississippi,,"1,209","1,104",71,0,11,39,3,0,0,0,0,0,0,0,0
,Missouri,,"1,271","1,078",123,4,20,48,10,2,2,0,0,0,0,0,0
,Montana,,165,134,20,0,7,7,2,0,1,0,0,0,0,0,0
,Nebraska,,267,195,49,3,2,25,3,0,1,0,0,0,0,0,0
,Nevada,,569,471,89,2,4,12,0,0,2,0,0,0,0,0,0
,New Hampshire,,409,312,78,3,7,17,3,0,0,0,0,0,0,0,0
,New Jersey,,"3,379","2,858",337,29,48,103,49,0,3,0,0,0,0,0,0
,New Mexico,,700,618,66,5,3,13,2,0,1,0,0,0,0,0,0
,New York,,"8,507","7,316",739,153,143,297,108,2,8,0,0,0,0,0,0
,North Carolina,,"3,049","2,749",148,50,82,90,15,1,7,1,0,0,0,1,0
,North Dakota,,196,158,17,4,7,15,5,2,0,0,0,0,0,0,0
,Ohio,,"2,714","2,071",446,25,49,167,34,3,7,0,0,5,0,1,0
,Oklahoma,,638,471,118,2,16,29,10,1,2,0,0,0,0,0,0
,Oregon,,644,529,74,2,12,21,12,1,1,0,0,0,0,0,0
,Pennsylvania,,"4,920","4,279",422,48,101,106,61,1,24,0,0,1,1,0,0
,Puerto Rico,,398,361,32,0,5,3,0,0,0,0,0,0,0,0,0
,Rhode Island,,393,307,61,2,2,21,6,0,0,0,0,0,0,0,0
,
,South Carolina,,"1,703","1,496",121,12,48,63,6,1,5,0,0,0,0,0,0
,South Dakota,,311,266,36,3,9,7,6,0,0,0,0,0,0,0,0
,State unassigned,,386,304,55,8,10,15,6,1,11,0,0,0,0,0,0
,Tennessee,,"2,082","1,826",191,11,22,53,9,0,2,0,0,0,0,0,0
,Texas,,"9,566","8,021","1,246",34,79,330,75,9,7,0,1,0,0,0,0
,Utah,,523,370,113,2,10,31,2,0,1,0,0,0,0,0,0
,Vermont,,132,81,42,2,0,8,1,0,0,0,0,0,0,0,0
,Virginia,,"2,827","2,384",254,38,65,140,28,2,7,0,0,0,0,0,0
,Washington,,"1,569","1,267",173,9,40,63,21,1,10,0,0,0,0,0,0
,West Virginia,,337,245,79,2,10,17,5,0,1,0,0,0,0,0,0
,Wisconsin,,"1,420","1,088",246,27,32,64,16,1,1,0,0,0,0,0,0
,Wyoming,,113,94,13,0,3,4,0,0,1,0,0,0,0,0,0
ALCH-TX1 Children's of Alabama,All Patient States,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
,Alabama,,19,13,2,0,0,5,0,0,0,0,0,0,0,0,0
,Mississippi,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,All Patient States,,"1,152","1,031",102,5,9,15,8,0,0,0,0,0,0,0,0
,Alabama,,855,769,67,5,5,12,5,0,0,0,0,0,0,0,0
,Arizona,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,,48,40,8,0,1,0,1,0,0,0,0,0,0,0,0
,Georgia,,84,73,8,0,0,2,1,0,0,0,0,0,0,0,0
,Illinois,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mississippi,,103,97,10,0,0,0,1,0,0,0,0,0,0,0,0
,South Carolina,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,State unassigned,,33,33,0,0,1,0,0,0,0,0,0,0,0,0,0
,Tennessee,,24,15,8,0,2,1,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,All Patient States,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alabama,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mississippi,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Carolina,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pennsylvania,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,All Patient States,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
,Arkansas,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,All Patient States,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
,
,Arkansas,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,All Patient States,,210,179,31,0,0,0,0,0,0,0,0,0,0,0,0
,Arkansas,,202,171,31,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Louisiana,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,All Patient States,,29,19,6,0,0,4,0,0,0,0,0,0,0,0,0
,Arizona,,27,18,6,0,0,3,0,0,0,0,0,0,0,0,0
,Illinois,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,New Mexico,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,All Patient States,,412,379,28,3,2,6,0,0,0,0,0,0,0,0,0
,Arizona,,406,373,28,3,2,6,0,0,0,0,0,0,0,0,0
,California,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZHH-TX1 Phoenix Regional Medical Center,All Patient States,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,All Patient States,,921,763,135,2,16,18,0,0,0,0,0,0,0,0,0
,Alabama,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alaska,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,,544,474,48,1,11,13,0,0,0,0,0,0,0,0,0
,Arkansas,,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0
,California,,133,109,25,0,2,0,0,0,0,0,0,0,0,0,0
,Colorado,,20,10,11,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hawaii,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Idaho,,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
,Illinois,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kentucky,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Louisiana,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maryland,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Michigan,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Minnesota,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
,Mississippi,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Missouri,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Nebraska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,Nevada,,62,54,6,1,1,0,0,0,0,0,0,0,0,0,0
,New Mexico,,43,32,13,0,0,1,0,0,0,0,0,0,0,0,0
,New York,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Carolina,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,North Dakota,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Ohio,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
,Oklahoma,,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0
,Oregon,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,29,17,11,0,1,1,0,0,0,0,0,0,0,0,0
,Utah,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Vermont,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Washington,,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0
,Wisconsin,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wyoming,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,All Patient States,,136,102,22,0,0,0,15,0,0,0,0,0,0,0,0
,Alaska,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Arizona,,127,100,22,0,0,0,8,0,0,0,0,0,0,0,0
,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Nebraska,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Oregon,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Texas,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,Washington,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,All Patient States,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,All Patient States,,127,114,9,0,1,1,2,0,0,0,0,0,0,0,0
,Arizona,,117,104,9,0,1,1,2,0,0,0,0,0,0,0,0
,California,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Illinois,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CABE-TX1 Saint Bernardine Medical Center,All Patient States,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,All Patient States,,35,31,0,0,0,4,0,0,0,0,0,0,0,0,0
,California,,35,31,0,0,0,4,0,0,0,0,0,0,0,0,0
CACL-TX1 Childrens Hospital Los Angeles,All Patient States,,67,28,31,0,0,8,0,0,0,0,0,0,0,0,0
,California,,67,28,31,0,0,8,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,All Patient States,,"1,408","1,192",132,3,12,92,13,0,0,0,0,0,0,0,0
,Arizona,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,Arkansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,"1,382","1,174",130,3,12,85,13,0,0,0,0,0,0,0,0
,Florida,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,New Mexico,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,New York,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Ohio,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,Oregon,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,State unassigned,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,All Patient States,,472,417,55,3,10,0,0,0,0,0,0,0,0,0,0
,Arizona,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,464,410,54,3,10,0,0,0,0,0,0,0,0,0,0
,Hawaii,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Dakota,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAIM-TX1 University of California Irvine Medical Center,All Patient States,,743,738,0,0,5,0,0,0,0,0,0,0,0,0,0
,California,,743,738,0,0,5,0,0,0,0,0,0,0,0,0,0
CALA-TX1 Harbor UCLA Medical Center,All Patient States,,509,509,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,509,509,0,0,0,0,0,0,0,0,0,0,0,0,0
CALB-TX1 St Mary Medical Center,All Patient States,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,All Patient States,,"1,495","1,363",99,5,28,18,0,0,0,0,0,0,0,0,0
,California,,"1,459","1,348",75,5,28,18,0,0,0,0,0,0,0,0,0
,Colorado,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,33,12,24,0,0,0,0,0,0,0,0,0,0,0,0
,Oregon,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,All Patient States,,58,53,6,0,0,0,0,0,0,0,0,0,0,0,0
,California,,56,52,5,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,All Patient States,,161,137,14,3,0,11,0,0,6,0,0,0,0,0,0
,Arizona,,6,1,3,3,0,0,0,0,5,0,0,0,0,0,0
,California,,120,106,9,0,0,7,0,0,0,0,0,0,0,0,0
,Florida,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Hawaii,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,Idaho,,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0
,Michigan,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,13,12,0,0,0,0,0,0,1,0,0,0,0,0,0
,New Mexico,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oregon,,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0
,Washington,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,All Patient States,,"2,121","1,879",245,2,30,8,0,0,0,0,0,0,0,0,0
,California,,"2,058","1,821",240,2,27,8,0,0,0,0,0,0,0,0,0
,Idaho,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,55,52,3,0,3,0,0,0,0,0,0,0,0,0,0
,North Carolina,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,State unassigned,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,All Patient States,,968,807,136,0,0,36,5,1,0,0,0,0,0,0,0
,Alaska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
,California,,950,798,134,0,0,31,3,1,0,0,0,0,0,0,0
,Hawaii,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Idaho,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Missouri,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,8,3,2,0,0,3,0,0,0,0,0,0,0,0,0
,State unassigned,,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,Washington,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,All Patient States,,"5,365","4,667",585,19,100,24,42,2,0,0,0,0,0,0,0
,Alaska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arkansas,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,"5,041","4,365",568,17,97,23,40,2,0,0,0,0,0,0,0
,Colorado,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,District of Columbia,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
,Hawaii,,266,260,4,2,2,0,0,0,0,0,0,0,0,0,0
,Idaho,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,24,19,5,0,0,1,0,0,0,0,0,0,0,0,0
,New Mexico,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oregon,,8,1,4,0,1,0,2,0,0,0,0,0,0,0,0
,State unassigned,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Utah,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,Washington,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Wyoming,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASG-TX1 Sutter Medical Center Sacramento,All Patient States,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,California,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
CASH-TX1 Sharp Memorial Hospital,All Patient States,,561,550,0,3,16,11,0,0,0,0,0,0,0,0,0
,California,,560,550,0,3,16,10,0,0,0,0,0,0,0,0,0
,
,State unassigned,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CASJ-TX1 Saint Joseph Hospital,All Patient States,,357,357,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0
CASM-TX1 University of California Davis Medical Center,All Patient States,,"1,665","1,665",0,0,3,0,0,0,0,0,0,0,0,0,0
,California,,"1,613","1,613",0,0,3,0,0,0,0,0,0,0,0,0,0
,Idaho,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASU-TX1 Stanford Health Care,All Patient States,,"2,082","1,834",224,1,9,17,31,5,1,0,0,0,0,0,0
,Arizona,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,"1,998","1,774",206,1,9,10,26,2,1,0,0,0,0,0,0
,Hawaii,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,Idaho,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Illinois,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,47,32,16,0,0,0,0,0,0,0,0,0,0,0,0
,Oregon,,6,1,1,0,0,3,3,1,0,0,0,0,0,0,0
,State unassigned,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
,Washington,,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0
CASV-TX1 St. Vincent Medical Center,All Patient States,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUC-TX1 University of California at Los Angeles Medical Center,All Patient States,,"2,453","1,930",502,21,6,28,21,0,27,0,0,0,0,0,0
,Arizona,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,California,,"2,406","1,915",475,21,6,25,20,0,25,0,0,0,0,0,0
,Florida,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Georgia,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hawaii,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,27,6,19,0,0,1,0,0,1,0,0,0,0,0,0
,New Mexico,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,New York,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oregon,,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0
,State unassigned,,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0
,Texas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Washington,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,Wyoming,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAUH-TX1 Keck Hospital of USC,All Patient States,,"1,662","1,400",242,1,4,19,32,0,0,0,0,0,0,0,0
,Arizona,,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
,California,,"1,635","1,383",232,1,4,16,32,0,0,0,0,0,0,0,0
,
,Nevada,,20,14,5,0,0,3,0,0,0,0,0,0,0,0,0
,New Mexico,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,State unassigned,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COCH-TX1 Children's Hospital Colorado,All Patient States,,41,27,4,0,0,11,0,0,0,0,0,0,0,0,0
,Arkansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,28,22,2,0,0,5,0,0,0,0,0,0,0,0,0
,Nebraska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,,8,2,2,0,0,4,0,0,0,0,0,0,0,0,0
,Wyoming,,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
COPM-TX1 Centura Transplant,All Patient States,,128,115,17,0,0,0,0,0,0,0,0,0,0,0,0
,Alabama,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,105,93,15,0,0,0,0,0,0,0,0,0,0,0,0
,Kansas,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kentucky,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
,Nebraska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Dakota,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wyoming,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,All Patient States,,411,349,68,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,395,340,60,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
,Nebraska,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Wyoming,,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,All Patient States,,"1,029",849,114,12,24,48,11,0,0,0,0,0,0,0,0
,Alabama,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arkansas,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,California,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Colorado,,867,732,77,12,21,41,9,0,0,0,0,0,0,0,0
,Kansas,,8,4,1,0,0,1,2,0,0,0,0,0,0,0,0
,Kentucky,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,,27,26,0,0,1,1,0,0,0,0,0,0,0,0,0
,Nebraska,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,,35,6,26,0,0,3,0,0,0,0,0,0,0,0,0
,New York,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,Pennsylvania,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Dakota,,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
,Utah,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Wisconsin,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wyoming,,67,58,7,0,2,2,0,0,0,0,0,0,0,0,0
CTHH-TX1 Hartford Hospital,All Patient States,,454,389,52,0,0,16,0,0,0,0,0,0,0,0,0
,Connecticut,,435,371,51,0,0,16,0,0,0,0,0,0,0,0,0
,Massachusetts,,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,New York,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pennsylvania,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
