,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,Puerto Rico,,398,361,32,0,5,3,0,0,0,0,0,0,0,0,0
All Centers,Rhode Island,,393,307,61,2,2,21,6,0,0,0,0,0,0,0,0
All Centers,South Carolina,,"1,703","1,496",121,12,48,63,6,1,5,0,0,0,0,0,0
All Centers,South Dakota,,311,266,36,3,9,7,6,0,0,0,0,0,0,0,0
All Centers,State unassigned,,386,304,55,8,10,15,6,1,11,0,0,0,0,0,0
All Centers,Tennessee,,"2,082","1,826",191,11,22,53,9,0,2,0,0,0,0,0,0
All Centers,Texas,,"9,566","8,021","1,246",34,79,330,75,9,7,0,1,0,0,0,0
All Centers,Utah,,523,370,113,2,10,31,2,0,1,0,0,0,0,0,0
All Centers,Vermont,,132,81,42,2,0,8,1,0,0,0,0,0,0,0,0
All Centers,Virginia,,"2,827","2,384",254,38,65,140,28,2,7,0,0,0,0,0,0
All Centers,Washington,,"1,569","1,267",173,9,40,63,21,1,10,0,0,0,0,0,0
All Centers,West Virginia,,337,245,79,2,10,17,5,0,1,0,0,0,0,0,0
All Centers,Wisconsin,,"1,420","1,088",246,27,32,64,16,1,1,0,0,0,0,0,0
All Centers,Wyoming,,113,94,13,0,3,4,0,0,1,0,0,0,0,0,0
ALCH-TX1 Children's of Alabama,All Patient States,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
ALCH-TX1 Children's of Alabama,Alabama,,19,13,2,0,0,5,0,0,0,0,0,0,0,0,0
ALCH-TX1 Children's of Alabama,Mississippi,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,All Patient States,,"1,152","1,031",102,5,9,15,8,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Alabama,,855,769,67,5,5,12,5,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Arizona,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Colorado,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Florida,,48,40,8,0,1,0,1,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Georgia,,84,73,8,0,0,2,1,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Illinois,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Mississippi,,103,97,10,0,0,0,1,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,South Carolina,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,State unassigned,,33,33,0,0,1,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,Tennessee,,24,15,8,0,2,1,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,All Patient States,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Alabama,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Florida,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Georgia,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Mississippi,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,North Carolina,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Pennsylvania,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,South Carolina,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Texas,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,Virginia,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,All Patient States,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,Arkansas,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,All Patient States,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,Arkansas,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,All Patient States,,210,179,31,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Arkansas,,202,171,31,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Florida,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Kansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Louisiana,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Tennessee,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,Texas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,All Patient States,,29,19,6,0,0,4,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,Arizona,,27,18,6,0,0,3,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,Illinois,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,New Mexico,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,All Patient States,,412,379,28,3,2,6,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,,406,373,28,3,2,6,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,California,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,Florida,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,Nevada,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZHH-TX1 Phoenix Regional Medical Center,All Patient States,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AZHH-TX1 Phoenix Regional Medical Center,Arizona,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,All Patient States,,921,763,135,2,16,18,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Alabama,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Alaska,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Arizona,,544,474,48,1,11,13,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Arkansas,,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,California,,133,109,25,0,2,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Colorado,,20,10,11,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Florida,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Hawaii,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Idaho,,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Illinois,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Kansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Kentucky,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Louisiana,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Maryland,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Michigan,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Minnesota,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Mississippi,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Missouri,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Montana,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Nebraska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Nevada,,62,54,6,1,1,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,New Mexico,,43,32,13,0,0,1,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,New York,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,North Carolina,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,North Dakota,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Ohio,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Oklahoma,,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Oregon,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Tennessee,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Texas,,29,17,11,0,1,1,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Utah,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Vermont,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Virginia,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Washington,,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Wisconsin,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,Wyoming,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,All Patient States,,136,102,22,0,0,0,15,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Alaska,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,,127,100,22,0,0,0,8,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Colorado,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Nebraska,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Oregon,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Texas,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,Washington,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,All Patient States,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,Arizona,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,All Patient States,,127,114,9,0,1,1,2,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,Arizona,,117,104,9,0,1,1,2,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,California,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,Colorado,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,Illinois,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,Nevada,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CABE-TX1 Saint Bernardine Medical Center,All Patient States,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CABE-TX1 Saint Bernardine Medical Center,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,All Patient States,,35,31,0,0,0,4,0,0,0,0,0,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,California,,35,31,0,0,0,4,0,0,0,0,0,0,0,0,0
CACL-TX1 Childrens Hospital Los Angeles,All Patient States,,67,28,31,0,0,8,0,0,0,0,0,0,0,0,0
CACL-TX1 Childrens Hospital Los Angeles,California,,67,28,31,0,0,8,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,All Patient States,,"1,408","1,192",132,3,12,92,13,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,Arizona,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,,,,,,,,,,,,,,,,,
CACS-TX1 Cedars-Sinai Medical Center,Arkansas,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,California,,"1,382","1,174",130,3,12,85,13,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,Florida,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,Georgia,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,Nevada,,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,New Jersey,,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,New Mexico,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,New York,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,Ohio,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,Oregon,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,State unassigned,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,All Patient States,,472,417,55,3,10,0,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,Arizona,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,California,,464,410,54,3,10,0,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,Hawaii,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,Nevada,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,South Dakota,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAIM-TX1 University of California Irvine Medical Center,All Patient States,,743,738,0,0,5,0,0,0,0,0,0,0,0,0,0
CAIM-TX1 University of California Irvine Medical Center,California,,743,738,0,0,5,0,0,0,0,0,0,0,0,0,0
CALA-TX1 Harbor UCLA Medical Center,All Patient States,,509,509,0,0,0,0,0,0,0,0,0,0,0,0,0
CALA-TX1 Harbor UCLA Medical Center,California,,509,509,0,0,0,0,0,0,0,0,0,0,0,0,0
CALB-TX1 St Mary Medical Center,All Patient States,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALB-TX1 St Mary Medical Center,California,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,All Patient States,,"1,495","1,363",99,5,28,18,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,California,,"1,459","1,348",75,5,28,18,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,Colorado,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,Montana,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,Nevada,,33,12,24,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,Oregon,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,All Patient States,,58,53,6,0,0,0,0,0,0,0,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,California,,56,52,5,0,0,0,0,0,0,0,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,Nevada,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,All Patient States,,161,137,14,3,0,11,0,0,6,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Arizona,,6,1,3,3,0,0,0,0,5,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,,120,106,9,0,0,7,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Florida,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Hawaii,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Idaho,,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Michigan,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Nevada,,13,12,0,0,0,0,0,0,1,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,New Mexico,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Oklahoma,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Oregon,,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,Washington,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,All Patient States,,"2,121","1,879",245,2,30,8,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,,"2,058","1,821",240,2,27,8,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,Idaho,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,Montana,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,Nevada,,55,52,3,0,3,0,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,North Carolina,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,State unassigned,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,All Patient States,,968,807,136,0,0,36,5,1,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Alaska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Arizona,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,California,,950,798,134,0,0,31,3,1,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Hawaii,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Idaho,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Missouri,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Nevada,,8,3,2,0,0,3,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,State unassigned,,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,Washington,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,All Patient States,,"5,365","4,667",585,19,100,24,42,2,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Alaska,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Arkansas,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,California,,"5,041","4,365",568,17,97,23,40,2,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Colorado,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,District of Columbia,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Hawaii,,266,260,4,2,2,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Idaho,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Montana,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Nevada,,24,19,5,0,0,1,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,New Mexico,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Oregon,,8,1,4,0,1,0,2,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,State unassigned,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Texas,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Utah,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Washington,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,Wyoming,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CASG-TX1 Sutter Medical Center Sacramento,All Patient States,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
CASG-TX1 Sutter Medical Center Sacramento,California,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
