,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,6 Months to < 1 Year,,47,39,6,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,53,41,9,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,32,23,1,0,0,8,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,30,17,4,0,0,9,0,0,0,0,0,0,0,0,0
,,5 or More Years,,19,12,2,0,0,5,0,0,0,0,0,0,0,0,0
,California,All Time,,"21,319","18,702","2,261",61,223,281,141,8,34,0,0,0,0,0,0
,,< 30 Days,,507,353,103,2,13,36,20,1,2,0,0,0,0,0,0
,,30 to < 90 Days,,849,666,134,2,11,30,20,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,"1,572","1,255",258,3,25,47,26,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,"2,297","1,885",353,5,41,43,21,2,2,0,0,0,0,0,0
,,1 Year to < 2 Years,,"4,302","3,754",473,11,61,49,24,1,4,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,"3,349","3,047",251,9,22,33,16,2,4,0,0,0,0,0,0
,,3 Years to < 5 Years,,"4,312","3,991",270,10,21,32,12,1,5,0,0,0,0,0,0
,,5 or More Years,,"4,851","4,395",424,19,29,15,5,1,12,0,0,0,0,0,0
,Colorado,All Time,,"1,601","1,332",202,12,24,59,11,0,0,0,0,0,0,0,0
,,< 30 Days,,77,46,28,0,1,1,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,98,69,20,4,3,4,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,157,132,21,0,1,4,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,191,153,26,3,7,10,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,355,309,27,2,5,18,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,223,188,18,0,0,17,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,308,277,29,3,6,3,0,0,0,0,0,0,0,0,0
,,5 or More Years,,201,165,34,0,1,2,0,0,0,0,0,0,0,0,0
,Connecticut,All Time,,"1,181",952,184,2,1,59,0,0,0,0,0,0,0,0,0
,,< 30 Days,,43,21,11,0,0,12,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,65,49,11,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,120,87,24,0,0,11,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,200,161,28,0,0,14,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,287,234,45,0,0,9,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,155,127,26,0,0,5,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,173,152,20,1,0,3,0,0,0,0,0,0,0,0,0
,,5 or More Years,,171,150,20,1,1,0,0,0,0,0,0,0,0,0,0
,Delaware,All Time,,182,177,5,0,0,1,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,47,46,1,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,39,39,1,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,16,15,1,0,0,0,0,0,0,0,0,0,0,0,0
,District of Columbia,All Time,,"1,564","1,257",241,28,42,38,0,0,16,0,0,0,0,0,0
,,< 30 Days,,58,44,8,2,4,4,0,0,1,0,0,0,0,0,0
,,30 to < 90 Days,,72,51,8,4,3,5,0,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,113,90,19,2,6,1,0,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,209,154,42,3,5,7,0,0,4,0,0,0,0,0,0
,,1 Year to < 2 Years,,423,346,55,5,20,11,0,0,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,262,225,31,0,3,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,279,231,42,7,0,4,0,0,3,0,0,0,0,0,0
,,5 or More Years,,164,126,36,5,1,0,0,0,1,0,0,0,0,0,0
,Florida,All Time,,"5,007","4,259",473,27,76,204,56,1,20,2,0,0,0,0,0
,,< 30 Days,,319,212,66,2,10,22,19,0,2,0,0,0,0,0,0
,,
,,30 to < 90 Days,,332,240,58,4,6,27,13,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,532,398,92,3,11,25,9,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,844,700,96,7,14,33,6,1,7,1,0,0,0,0,0
,,1 Year to < 2 Years,,"1,356","1,210",91,8,15,39,6,0,3,0,0,0,0,0,0
,,2 Years to < 3 Years,,803,737,40,2,8,23,2,0,2,1,0,0,0,0,0
,,3 Years to < 5 Years,,663,614,21,1,8,25,1,0,1,0,0,0,0,0,0
,,5 or More Years,,367,344,13,0,5,10,0,0,0,0,0,0,0,0,0
,Georgia,All Time,,"4,416","4,006",331,5,35,90,5,0,0,0,0,0,0,0,0
,,< 30 Days,,127,88,27,0,2,12,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,177,141,22,0,1,12,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,306,253,42,1,9,12,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,445,381,54,0,6,8,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,862,785,70,2,1,13,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,765,713,36,0,3,19,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,963,906,48,1,8,9,0,0,0,0,0,0,0,0,0
,,5 or More Years,,794,755,33,1,5,5,0,0,0,0,0,0,0,0,0
,Hawaii,All Time,,348,326,22,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,29,28,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,38,36,2,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,34,2,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,64,60,4,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,43,41,2,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,60,57,3,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,66,61,5,0,0,0,0,0,0,0,0,0,0,0,0
,Illinois,All Time,,"3,884","3,338",244,64,89,187,45,1,7,0,0,0,0,0,0
,,< 30 Days,,209,160,29,6,7,12,9,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,238,182,26,5,10,19,4,0,1,0,0,0,0,0,0
,,90 Days to < 6 Months,,366,291,36,3,20,14,12,1,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,533,463,35,5,12,20,1,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,931,817,41,19,26,39,12,0,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,518,450,29,7,8,30,5,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,601,539,26,8,3,28,2,0,0,0,0,0,0,0,0
,,5 or More Years,,519,457,22,11,3,25,0,0,3,0,0,0,0,0,0
,Indiana,All Time,,"1,023",866,86,19,19,84,2,0,17,0,0,0,0,0,0
,,< 30 Days,,63,49,12,1,0,3,1,0,1,0,0,0,0,0,0
,,30 to < 90 Days,,85,64,13,2,4,10,1,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,100,77,11,3,3,14,0,0,3,0,0,0,0,0,0
,,6 Months to < 1 Year,,125,91,26,4,3,14,0,0,4,0,0,0,0,0,0
,,1 Year to < 2 Years,,270,233,16,5,3,23,0,0,4,0,0,0,0,0,0
,,2 Years to < 3 Years,,178,160,4,3,4,12,0,0,1,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,128,119,2,1,1,7,0,0,1,0,0,0,0,0,0
,,5 or More Years,,77,74,2,0,1,1,0,0,0,0,0,0,0,0,0
,Iowa,All Time,,587,504,35,2,14,23,10,0,0,0,0,0,0,0,0
,,< 30 Days,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,65,55,2,0,5,3,1,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,79,62,11,0,2,2,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,91,70,17,0,1,2,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,165,152,4,0,2,4,3,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,77,69,0,1,2,3,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,65,52,1,1,2,8,1,0,0,0,0,0,0,0,0
,,5 or More Years,,30,29,0,0,0,1,0,0,0,0,0,0,0,0,0
,Kansas,All Time,,409,287,103,0,9,18,0,0,0,0,0,0,0,0,0
,,< 30 Days,,18,10,5,0,1,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,41,27,8,0,2,4,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,67,45,17,0,2,4,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,60,45,13,0,0,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,118,86,28,0,4,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,57,38,19,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,38,29,9,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0
,Kentucky,All Time,,946,731,150,2,24,42,23,3,0,0,0,0,0,0,0
,,< 30 Days,,31,22,7,0,0,4,2,1,0,0,0,0,0,0,0
,,30 to < 90 Days,,82,56,14,0,2,5,5,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,106,85,16,1,2,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,183,134,28,1,7,12,5,1,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,261,201,42,0,9,11,8,1,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,137,113,18,0,3,4,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,112,92,16,0,1,3,1,0,0,0,0,0,0,0,0
,,5 or More Years,,37,28,9,0,0,0,0,0,0,0,0,0,0,0,0
,Louisiana,All Time,,"1,951","1,735",134,3,32,58,3,0,0,0,0,0,0,0,0
,,< 30 Days,,63,44,10,0,4,4,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,117,89,17,1,5,6,1,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,189,169,16,0,3,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,218,190,17,1,8,4,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,459,417,28,1,6,11,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,360,319,23,0,3,17,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,337,311,12,0,3,11,0,0,0,0,0,0,0,0,0
,,5 or More Years,,209,196,11,0,0,2,0,0,0,0,0,0,0,0,0
,Maine,All Time,,167,167,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,90 Days to < 6 Months,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maryland,All Time,,"2,820","2,080",655,25,25,84,16,0,0,0,1,0,1,1,0
,,< 30 Days,,95,61,25,2,2,5,4,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,103,68,28,1,3,4,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,176,116,52,5,5,6,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,293,214,68,4,3,11,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,546,429,108,4,7,11,3,0,0,0,1,0,0,0,0
,,2 Years to < 3 Years,,428,335,70,3,1,21,3,0,0,0,0,0,1,0,0
,,3 Years to < 5 Years,,563,431,117,2,2,16,0,0,0,0,0,0,0,1,0
,,5 or More Years,,648,448,187,4,3,10,0,0,0,0,0,0,0,0,0
,Massachusetts,All Time,,"4,494","3,314",959,42,66,184,58,1,3,0,0,0,0,0,1
,,< 30 Days,,182,120,50,1,1,11,9,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,270,189,56,2,6,15,10,0,1,0,0,0,0,0,0
,,90 Days to < 6 Months,,442,309,101,2,9,24,13,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,475,315,141,3,6,15,8,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,"1,042",782,219,10,21,35,10,1,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,770,600,127,13,15,27,5,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,866,695,131,8,5,31,3,0,1,0,0,0,0,0,1
,,5 or More Years,,502,340,134,3,3,26,0,0,1,0,0,0,0,0,0
,Michigan,All Time,,"2,539","2,134",241,31,33,138,35,0,1,0,0,0,0,0,0
,,< 30 Days,,108,81,17,0,1,5,7,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,148,120,21,2,6,7,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,219,170,29,5,5,14,6,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,306,240,40,5,4,23,7,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,584,500,41,5,6,37,5,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,432,379,31,4,4,21,3,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,416,358,31,6,2,21,2,0,0,0,0,0,0,0,0
,,5 or More Years,,334,288,31,4,5,10,3,0,0,0,0,0,0,0,0
,Minnesota,All Time,,"2,582","2,104",190,129,161,122,62,7,0,0,0,0,1,0,0
,,< 30 Days,,109,72,23,4,4,7,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,176,119,36,5,5,11,9,2,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,227,175,27,12,9,11,5,1,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,249,215,18,9,18,6,2,0,0,0,0,0,1,0,0
,,1 Year to < 2 Years,,557,467,31,21,40,23,18,1,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,413,354,21,18,31,15,7,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,427,368,14,18,27,23,6,1,0,0,0,0,0,0,0
,,
,,5 or More Years,,441,348,20,43,27,26,9,2,0,0,0,0,0,0,0
,Mississippi,All Time,,945,899,32,0,6,19,0,0,0,0,0,0,0,0,0
,,< 30 Days,,29,26,2,0,1,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,62,58,4,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,121,113,5,0,1,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,121,108,12,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,262,250,6,0,2,8,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,155,150,2,0,0,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,113,111,1,0,1,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,84,83,0,0,0,1,0,0,0,0,0,0,0,0,0
,Missouri,All Time,,"1,635","1,419",117,2,24,61,18,5,0,0,0,0,0,0,0
,,< 30 Days,,119,80,24,2,3,4,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,125,98,18,0,2,10,3,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,188,151,17,0,4,14,3,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,221,185,24,0,5,6,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,372,337,17,0,6,12,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,245,229,6,0,2,7,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,201,189,6,0,0,5,2,0,0,0,0,0,0,0,0
,,5 or More Years,,171,157,5,0,2,3,1,4,0,0,0,0,0,0,0
,Nebraska,All Time,,308,182,92,11,1,37,1,0,17,0,0,0,0,0,0
,,< 30 Days,,23,13,9,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,24,17,6,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,28,18,11,1,0,1,0,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,47,27,11,4,0,8,0,0,5,0,0,0,0,0,0
,,1 Year to < 2 Years,,79,54,14,2,0,9,1,0,4,0,0,0,0,0,0
,,2 Years to < 3 Years,,50,32,8,1,0,11,0,0,1,0,0,0,0,0,0
,,3 Years to < 5 Years,,33,17,14,2,1,3,0,0,4,0,0,0,0,0,0
,,5 or More Years,,24,4,19,1,0,1,0,0,1,0,0,0,0,0,0
,Nevada,All Time,,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Hampshire,All Time,,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,All Time,,"2,594","2,328",174,13,38,38,11,0,0,0,0,0,0,0,0
,,< 30 Days,,104,87,12,1,1,2,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,149,127,14,1,4,3,2,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,207,173,20,2,6,6,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,362,318,25,1,10,5,3,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,736,654,55,5,10,9,5,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,348,307,27,2,4,11,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,399,381,15,1,0,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,294,285,6,0,3,0,0,0,0,0,0,0,0,0,0
,New Mexico,All Time,,517,514,0,2,3,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,51,50,0,1,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,117,116,0,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,97,96,0,0,1,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0
,New York,All Time,,"8,869","7,555",823,168,145,331,109,3,7,0,0,0,0,0,0
,,< 30 Days,,303,216,45,12,13,25,13,0,1,0,0,0,0,0,0
,,30 to < 90 Days,,392,290,56,7,12,30,11,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,682,532,99,13,22,36,14,1,1,0,0,0,0,0,0
,,6 Months to < 1 Year,,935,763,112,27,28,37,13,0,3,0,0,0,0,0,0
,,1 Year to < 2 Years,,"2,085","1,776",195,30,35,70,35,1,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,"1,481","1,300",102,22,18,54,20,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,"1,552","1,387",105,29,12,45,3,0,0,0,0,0,0,0,0
,,5 or More Years,,"1,512","1,342",110,28,5,34,0,0,0,0,0,0,0,0,0
,North Carolina,All Time,,"3,222","2,901",173,47,84,94,19,2,5,1,0,0,0,1,0
,,< 30 Days,,155,109,19,2,9,15,8,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,215,177,18,2,5,12,7,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,299,255,24,6,13,11,0,0,1,0,0,0,0,0,0
,,6 Months to < 1 Year,,498,438,35,10,21,10,2,0,1,0,0,0,0,0,0
,,1 Year to < 2 Years,,822,763,32,17,22,23,1,1,2,1,0,0,0,0,0
,,2 Years to < 3 Years,,543,502,21,6,9,12,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,506,489,9,2,3,6,0,0,0,0,0,0,0,1,0
,,5 or More Years,,293,270,16,2,3,5,0,0,1,0,0,0,0,0,0
,,
,North Dakota,All Time,,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ohio,All Time,,"3,017","2,247",518,36,57,199,57,4,22,0,0,5,0,1,0
,,< 30 Days,,218,133,50,2,4,21,15,1,2,0,0,0,0,0,0
,,30 to < 90 Days,,252,183,45,4,5,17,7,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,410,300,66,6,12,35,13,1,4,0,0,0,0,0,0
,,6 Months to < 1 Year,,492,369,84,3,12,36,8,2,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,730,569,107,7,17,38,9,0,3,0,0,1,0,0,0
,,2 Years to < 3 Years,,396,312,50,3,2,24,4,0,2,0,0,4,0,1,0
,,3 Years to < 5 Years,,296,206,64,7,3,20,0,0,6,0,0,0,0,0,0
,,5 or More Years,,290,225,53,4,4,9,1,0,2,0,0,0,0,0,0
,Oklahoma,All Time,,622,474,104,1,16,24,13,0,0,0,0,0,0,0,0
,,< 30 Days,,73,54,12,0,3,1,4,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,58,43,9,0,2,1,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,72,49,14,0,1,7,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,94,69,16,0,1,7,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,168,148,12,1,4,2,2,0,0,0,0,0,0,0,0
