Region,Organ,Recipient_Diagnose_Category,Years_Post_Transplant,Number_Functioning_or_Alive,Survival_Rate
U.S.,Kidney,Renovascular and Other Vascula,5 Year,1020,87.4
U.S.,Kidney,Tubular and Interstitial Disea,5 Year,2386,85.6
U.S.,Kidney,Other,5 Year,3321,87.7
U.S.,Kidney / Pancreas,Retransplant/Graft Failure,1 Year,45,100
U.S.,Kidney / Pancreas,Glomerular Disease,1 Year,12,100
U.S.,Kidney / Pancreas,Hypertensive Nephrosclerosis,1 Year,100,98.1
U.S.,Kidney / Pancreas,Retransplant/Graft Failure,3 Year,41,93.3
U.S.,Kidney / Pancreas,Glomerular Disease,3 Year,10,100
U.S.,Kidney / Pancreas,Hypertensive Nephrosclerosis,3 Year,121,96.1
U.S.,Kidney / Pancreas,Retransplant/Graft Failure,5 Year,42,82.6
U.S.,Kidney / Pancreas,Hypertensive Nephrosclerosis,5 Year,125,87.7
U.S.,Kidney / Pancreas,Tubular and Interstitial Disea,5 Year,17,82.6
U.S.,Kidney / Pancreas,Other,5 Year,12,53.1
U.S.,Liver,Cystic Fibrosis,1 Year,47,88.9
U.S.,Liver,Acute Hepatic Necrosis,1 Year,919,91
U.S.,Liver,Benign Neoplasms,1 Year,151,94.4
U.S.,Liver,Biliary Atresia,1 Year,737,96
U.S.,Liver,Cholestatic Liver Disease/Cirr,1 Year,1771,93.6
U.S.,Liver,Malignant Neoplasms,1 Year,6041,91
U.S.,Liver,Metabolic Disease,1 Year,804,92.2
U.S.,Liver,Non-Cholestatic Cirrhosis,1 Year,8953,91.6
U.S.,Liver,Other Liver Disease,1 Year,256,92
U.S.,Liver,Other,1 Year,415,88.1
U.S.,Liver,Cystic Fibrosis,3 Year,30,79.7
U.S.,Liver,Acute Hepatic Necrosis,3 Year,913,86.2
U.S.,Liver,Benign Neoplasms,3 Year,124,90.8
U.S.,Liver,Biliary Atresia,3 Year,702,93.4
U.S.,Liver,Cholestatic Liver Disease/Cirr,3 Year,1593,87.5
U.S.,Liver,Malignant Neoplasms,3 Year,4808,80
U.S.,Liver,Metabolic Disease,3 Year,708,87.5
U.S.,Liver,Non-Cholestatic Cirrhosis,3 Year,7576,82.9
U.S.,Liver,Other Liver Disease,3 Year,254,83.6
U.S.,Liver,Other,3 Year,473,75.3
U.S.,Liver,Cystic Fibrosis,5 Year,30,80.5
U.S.,Liver,Acute Hepatic Necrosis,5 Year,851,78.9
U.S.,Liver,Benign Neoplasms,5 Year,113,87.3
U.S.,Liver,Biliary Atresia,5 Year,713,92.6
U.S.,Liver,Cholestatic Liver Disease/Cirr,5 Year,1467,82.9
U.S.,Liver,Malignant Neoplasms,5 Year,3721,69.8
U.S.,Liver,Metabolic Disease,5 Year,652,83.5
U.S.,Liver,Non-Cholestatic Cirrhosis,5 Year,6798,74.5
U.S.,Liver,Other Liver Disease,5 Year,250,71.8
U.S.,Liver,Other,5 Year,558,66.9
U.S.,Pancreas,Retransplant/Graft Failure,1 Year,91,96.9
U.S.,Pancreas,Diabetes,1 Year,537,96.4
U.S.,Pancreas,Other,1 Year,185,80.3
U.S.,Pancreas,Retransplant/Graft Failure,3 Year,71,89.3
U.S.,Pancreas,Diabetes,3 Year,615,94.1
U.S.,Pancreas,Other,3 Year,138,68.3
U.S.,Pancreas,Retransplant/Graft Failure,5 Year,81,86.6
U.S.,Pancreas,Diabetes,5 Year,627,86.7
U.S.,Pancreas,Other,5 Year,151,58.6
