Center,Center_Code,Center_Name,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,3,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,3,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,0,3,0.0,0,1
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,4,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,17,11,0.0,1,1
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,0,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,4,5,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,102,22,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,0,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,100,22,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,1,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,0,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,0,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,0,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,1,0,0.0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,AZSJ-TX1,St. Joseph's Hospital and Medical Center,0,0,0.0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,AZSM-TX1,Scottsdale Healthcare Osborn,10,0,0.0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,AZSM-TX1,Scottsdale Healthcare Osborn,10,0,0.0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,AZUA-TX1,Banner University Medical Center-Tucson,114,9,0.0,1,1
AZUA-TX1 Banner University Medical Center-Tucson,AZUA-TX1,Banner University Medical Center-Tucson,104,9,0.0,1,1
AZUA-TX1 Banner University Medical Center-Tucson,AZUA-TX1,Banner University Medical Center-Tucson,5,0,0.0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,AZUA-TX1,Banner University Medical Center-Tucson,1,0,0.0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,AZUA-TX1,Banner University Medical Center-Tucson,1,0,0.0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,AZUA-TX1,Banner University Medical Center-Tucson,3,0,0.0,0,0
CABE-TX1 Saint Bernardine Medical Center,CABE-TX1,Saint Bernardine Medical Center,1,0,0.0,0,0
CABE-TX1 Saint Bernardine Medical Center,CABE-TX1,Saint Bernardine Medical Center,1,0,0.0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,CACH-TX1,Rady Children's Hospital and Health Center,31,0,0.0,0,4
CACH-TX1 Rady Children's Hospital and Health Center,CACH-TX1,Rady Children's Hospital and Health Center,31,0,0.0,0,4
CACL-TX1 Childrens Hospital Los Angeles,CACL-TX1,Childrens Hospital Los Angeles,28,31,0.0,0,8
CACL-TX1 Childrens Hospital Los Angeles,CACL-TX1,Childrens Hospital Los Angeles,28,31,0.0,0,8
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,"1,192",132,3.0,12,92
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,2,0,0.0,0,0
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,,,,,
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,1,0,0.0,0,0
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,"1,174",130,3.0,12,85
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,1,0,0.0,0,0
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,1,0,0.0,0,0
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,10,2,0.0,0,0
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,2,0,0.0,0,1
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,1,0,0.0,0,0
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,0,0,0.0,0,1
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,0,0,0.0,0,2
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,0,0,0.0,0,1
CACS-TX1 Cedars-Sinai Medical Center,CACS-TX1,Cedars-Sinai Medical Center,0,0,0.0,0,2
CAGH-TX1 Scripps Green Hospital,CAGH-TX1,Scripps Green Hospital,417,55,3.0,10,0
CAGH-TX1 Scripps Green Hospital,CAGH-TX1,Scripps Green Hospital,2,0,0.0,0,0
CAGH-TX1 Scripps Green Hospital,CAGH-TX1,Scripps Green Hospital,410,54,3.0,10,0
CAGH-TX1 Scripps Green Hospital,CAGH-TX1,Scripps Green Hospital,1,1,0.0,0,0
CAGH-TX1 Scripps Green Hospital,CAGH-TX1,Scripps Green Hospital,3,0,0.0,0,0
CAGH-TX1 Scripps Green Hospital,CAGH-TX1,Scripps Green Hospital,1,0,0.0,0,0
CAIM-TX1 University of California Irvine Medical Center,CAIM-TX1,University of California Irvine Medical Center,738,0,0.0,5,0
CAIM-TX1 University of California Irvine Medical Center,CAIM-TX1,University of California Irvine Medical Center,738,0,0.0,5,0
CALA-TX1 Harbor UCLA Medical Center,CALA-TX1,Harbor UCLA Medical Center,509,0,0.0,0,0
CALA-TX1 Harbor UCLA Medical Center,CALA-TX1,Harbor UCLA Medical Center,509,0,0.0,0,0
CALB-TX1 St Mary Medical Center,CALB-TX1,St Mary Medical Center,1,0,0.0,0,0
CALB-TX1 St Mary Medical Center,CALB-TX1,St Mary Medical Center,1,0,0.0,0,0
CALL-TX1 Loma Linda University Medical Center,CALL-TX1,Loma Linda University Medical Center,"1,363",99,5.0,28,18
CALL-TX1 Loma Linda University Medical Center,CALL-TX1,Loma Linda University Medical Center,"1,348",75,5.0,28,18
CALL-TX1 Loma Linda University Medical Center,CALL-TX1,Loma Linda University Medical Center,1,0,0.0,0,0
CALL-TX1 Loma Linda University Medical Center,CALL-TX1,Loma Linda University Medical Center,1,0,0.0,0,0
CALL-TX1 Loma Linda University Medical Center,CALL-TX1,Loma Linda University Medical Center,12,24,0.0,0,0
CALL-TX1 Loma Linda University Medical Center,CALL-TX1,Loma Linda University Medical Center,1,0,0.0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,CAMB-TX1,UCSF Medical Center at Mission Bay,53,6,0.0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,CAMB-TX1,UCSF Medical Center at Mission Bay,52,5,0.0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,CAMB-TX1,UCSF Medical Center at Mission Bay,1,1,0.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,137,14,3.0,0,11
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,1,3,3.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,106,9,0.0,0,7
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,0,0,0.0,0,1
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,6,0,0.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,1,1,0.0,0,2
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,1,0,0.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,12,0,0.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,3,0,0.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,1,0,0.0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,4,1,0.0,0,1
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford,2,0,0.0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,"1,879",245,2.0,30,8
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,"1,821",240,2.0,27,8
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,0,1,0.0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,0,1,0.0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,52,3,0.0,3,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,1,0,0.0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,CAPM-TX1,California Pacific Medical Center-Van Ness Campus,5,0,0.0,0,0
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,807,136,0.0,0,36
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,1,0,0.0,0,0
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,1,0,0.0,0,1
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,798,134,0.0,0,31
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,2,0,0.0,0,0
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,0,0,0.0,0,0
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,1,0,0.0,0,0
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,3,2,0.0,0,3
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,0,0,0.0,0,1
CASD-TX1 University of California San Diego Medical Center,CASD-TX1,University of California San Diego Medical Center,1,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,"4,667",585,19.0,100,24
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,3,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,"4,365",568,17.0,97,23
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,3,1,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,260,4,2.0,2,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,3,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,19,5,0.0,0,1
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,4,0.0,1,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,5,0,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,0,1,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,2,1,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,1,0.0,0,0
CASF-TX1 University of California San Francisco Medical Center,CASF-TX1,University of California San Francisco Medical Center,1,0,0.0,0,0
CASG-TX1 Sutter Medical Center Sacramento,CASG-TX1,Sutter Medical Center Sacramento,0,0,0.0,0,9
CASG-TX1 Sutter Medical Center Sacramento,CASG-TX1,Sutter Medical Center Sacramento,0,0,0.0,0,9
CASH-TX1 Sharp Memorial Hospital,CASH-TX1,Sharp Memorial Hospital,550,0,3.0,16,11
CASH-TX1 Sharp Memorial Hospital,CASH-TX1,Sharp Memorial Hospital,550,0,3.0,16,10
CASH-TX1 Sharp Memorial Hospital,CASH-TX1,Sharp Memorial Hospital,0,0,0.0,0,1
CASJ-TX1 Saint Joseph Hospital,CASJ-TX1,Saint Joseph Hospital,357,0,0.0,0,0
CASJ-TX1 Saint Joseph Hospital,CASJ-TX1,Saint Joseph Hospital,1,0,0.0,0,0
CASJ-TX1 Saint Joseph Hospital,CASJ-TX1,Saint Joseph Hospital,356,0,0.0,0,0
CASM-TX1 University of California Davis Medical Center,CASM-TX1,University of California Davis Medical Center,"1,665",0,0.0,3,0
CASM-TX1 University of California Davis Medical Center,CASM-TX1,University of California Davis Medical Center,"1,613",0,0.0,3,0
CASM-TX1 University of California Davis Medical Center,CASM-TX1,University of California Davis Medical Center,1,0,0.0,0,0
CASM-TX1 University of California Davis Medical Center,CASM-TX1,University of California Davis Medical Center,50,0,0.0,0,0
CASM-TX1 University of California Davis Medical Center,CASM-TX1,University of California Davis Medical Center,1,0,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,"1,834",224,1.0,9,17
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,2,0,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,"1,774",206,1.0,9,10
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,2,0,0.0,0,1
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,1,0,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,1,0,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,0,1,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,32,16,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,1,1,0.0,0,3
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,21,0,0.0,0,0
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,0,0,0.0,0,1
CASU-TX1 Stanford Health Care,CASU-TX1,Stanford Health Care,0,0,0.0,0,2
CASV-TX1 St. Vincent Medical Center,CASV-TX1,St. Vincent Medical Center,1,0,0.0,0,0
