Center,Center_Code,Center_Name,States,Time_Waited,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
All Centers,All Centers,All Centers,Connecticut,5 or More Years,150,20,1.0,1,0
All Centers,All Centers,All Centers,Delaware,All Time,177,5,0.0,0,1
All Centers,All Centers,All Centers,Delaware,< 30 Days,1,1,0.0,0,0
All Centers,All Centers,All Centers,Delaware,30 to < 90 Days,6,0,0.0,0,1
All Centers,All Centers,All Centers,Delaware,90 Days to < 6 Months,11,1,0.0,0,0
All Centers,All Centers,All Centers,Delaware,6 Months to < 1 Year,46,1,0.0,0,0
All Centers,All Centers,All Centers,Delaware,1 Year to < 2 Years,39,1,0.0,0,0
All Centers,All Centers,All Centers,Delaware,2 Years to < 3 Years,22,0,0.0,0,0
All Centers,All Centers,All Centers,Delaware,3 Years to < 5 Years,37,0,0.0,0,0
All Centers,All Centers,All Centers,Delaware,5 or More Years,15,1,0.0,0,0
All Centers,All Centers,All Centers,District of Columbia,All Time,"1,257",241,28.0,42,38
All Centers,All Centers,All Centers,District of Columbia,< 30 Days,44,8,2.0,4,4
All Centers,All Centers,All Centers,District of Columbia,30 to < 90 Days,51,8,4.0,3,5
All Centers,All Centers,All Centers,District of Columbia,90 Days to < 6 Months,90,19,2.0,6,1
All Centers,All Centers,All Centers,District of Columbia,6 Months to < 1 Year,154,42,3.0,5,7
All Centers,All Centers,All Centers,District of Columbia,1 Year to < 2 Years,346,55,5.0,20,11
All Centers,All Centers,All Centers,District of Columbia,2 Years to < 3 Years,225,31,0.0,3,6
All Centers,All Centers,All Centers,District of Columbia,3 Years to < 5 Years,231,42,7.0,0,4
All Centers,All Centers,All Centers,District of Columbia,5 or More Years,126,36,5.0,1,0
All Centers,All Centers,All Centers,Florida,All Time,"4,259",473,27.0,76,204
All Centers,All Centers,All Centers,Florida,< 30 Days,212,66,2.0,10,22
All Centers,All Centers,All Centers,Florida,< 30 Days,212,66,2.0,10,22
All Centers,All Centers,All Centers,Florida,30 to < 90 Days,240,58,4.0,6,27
All Centers,All Centers,All Centers,Florida,90 Days to < 6 Months,398,92,3.0,11,25
All Centers,All Centers,All Centers,Florida,6 Months to < 1 Year,700,96,7.0,14,33
All Centers,All Centers,All Centers,Florida,1 Year to < 2 Years,"1,210",91,8.0,15,39
All Centers,All Centers,All Centers,Florida,2 Years to < 3 Years,737,40,2.0,8,23
All Centers,All Centers,All Centers,Florida,3 Years to < 5 Years,614,21,1.0,8,25
All Centers,All Centers,All Centers,Florida,5 or More Years,344,13,0.0,5,10
All Centers,All Centers,All Centers,Georgia,All Time,"4,006",331,5.0,35,90
All Centers,All Centers,All Centers,Georgia,< 30 Days,88,27,0.0,2,12
All Centers,All Centers,All Centers,Georgia,30 to < 90 Days,141,22,0.0,1,12
All Centers,All Centers,All Centers,Georgia,90 Days to < 6 Months,253,42,1.0,9,12
All Centers,All Centers,All Centers,Georgia,6 Months to < 1 Year,381,54,0.0,6,8
All Centers,All Centers,All Centers,Georgia,1 Year to < 2 Years,785,70,2.0,1,13
All Centers,All Centers,All Centers,Georgia,2 Years to < 3 Years,713,36,0.0,3,19
All Centers,All Centers,All Centers,Georgia,3 Years to < 5 Years,906,48,1.0,8,9
All Centers,All Centers,All Centers,Georgia,5 or More Years,755,33,1.0,5,5
All Centers,All Centers,All Centers,Hawaii,All Time,326,22,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,< 30 Days,9,3,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,30 to < 90 Days,28,1,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,90 Days to < 6 Months,36,2,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,6 Months to < 1 Year,34,2,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,1 Year to < 2 Years,60,4,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,2 Years to < 3 Years,41,2,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,3 Years to < 5 Years,57,3,0.0,0,0
All Centers,All Centers,All Centers,Hawaii,5 or More Years,61,5,0.0,0,0
All Centers,All Centers,All Centers,Illinois,All Time,"3,338",244,64.0,89,187
All Centers,All Centers,All Centers,Illinois,< 30 Days,160,29,6.0,7,12
All Centers,All Centers,All Centers,Illinois,30 to < 90 Days,182,26,5.0,10,19
All Centers,All Centers,All Centers,Illinois,90 Days to < 6 Months,291,36,3.0,20,14
All Centers,All Centers,All Centers,Illinois,6 Months to < 1 Year,463,35,5.0,12,20
All Centers,All Centers,All Centers,Illinois,1 Year to < 2 Years,817,41,19.0,26,39
All Centers,All Centers,All Centers,Illinois,2 Years to < 3 Years,450,29,7.0,8,30
All Centers,All Centers,All Centers,Illinois,3 Years to < 5 Years,539,26,8.0,3,28
All Centers,All Centers,All Centers,Illinois,5 or More Years,457,22,11.0,3,25
All Centers,All Centers,All Centers,Indiana,All Time,866,86,19.0,19,84
All Centers,All Centers,All Centers,Indiana,< 30 Days,49,12,1.0,0,3
All Centers,All Centers,All Centers,Indiana,30 to < 90 Days,64,13,2.0,4,10
All Centers,All Centers,All Centers,Indiana,90 Days to < 6 Months,77,11,3.0,3,14
All Centers,All Centers,All Centers,Indiana,6 Months to < 1 Year,91,26,4.0,3,14
All Centers,All Centers,All Centers,Indiana,1 Year to < 2 Years,233,16,5.0,3,23
All Centers,All Centers,All Centers,Indiana,2 Years to < 3 Years,160,4,3.0,4,12
All Centers,All Centers,All Centers,Indiana,2 Years to < 3 Years,160,4,3.0,4,12
All Centers,All Centers,All Centers,Indiana,3 Years to < 5 Years,119,2,1.0,1,7
All Centers,All Centers,All Centers,Indiana,5 or More Years,74,2,0.0,1,1
All Centers,All Centers,All Centers,Iowa,All Time,504,35,2.0,14,23
All Centers,All Centers,All Centers,Iowa,< 30 Days,22,0,0.0,0,0
All Centers,All Centers,All Centers,Iowa,30 to < 90 Days,55,2,0.0,5,3
All Centers,All Centers,All Centers,Iowa,90 Days to < 6 Months,62,11,0.0,2,2
All Centers,All Centers,All Centers,Iowa,6 Months to < 1 Year,70,17,0.0,1,2
All Centers,All Centers,All Centers,Iowa,1 Year to < 2 Years,152,4,0.0,2,4
All Centers,All Centers,All Centers,Iowa,2 Years to < 3 Years,69,0,1.0,2,3
All Centers,All Centers,All Centers,Iowa,3 Years to < 5 Years,52,1,1.0,2,8
All Centers,All Centers,All Centers,Iowa,5 or More Years,29,0,0.0,0,1
All Centers,All Centers,All Centers,Kansas,All Time,287,103,0.0,9,18
All Centers,All Centers,All Centers,Kansas,< 30 Days,10,5,0.0,1,3
All Centers,All Centers,All Centers,Kansas,30 to < 90 Days,27,8,0.0,2,4
All Centers,All Centers,All Centers,Kansas,90 Days to < 6 Months,45,17,0.0,2,4
All Centers,All Centers,All Centers,Kansas,6 Months to < 1 Year,45,13,0.0,0,3
All Centers,All Centers,All Centers,Kansas,1 Year to < 2 Years,86,28,0.0,4,3
All Centers,All Centers,All Centers,Kansas,2 Years to < 3 Years,38,19,0.0,0,1
All Centers,All Centers,All Centers,Kansas,3 Years to < 5 Years,29,9,0.0,0,0
All Centers,All Centers,All Centers,Kansas,5 or More Years,7,4,0.0,0,0
All Centers,All Centers,All Centers,Kentucky,All Time,731,150,2.0,24,42
All Centers,All Centers,All Centers,Kentucky,< 30 Days,22,7,0.0,0,4
All Centers,All Centers,All Centers,Kentucky,30 to < 90 Days,56,14,0.0,2,5
All Centers,All Centers,All Centers,Kentucky,90 Days to < 6 Months,85,16,1.0,2,3
All Centers,All Centers,All Centers,Kentucky,6 Months to < 1 Year,134,28,1.0,7,12
All Centers,All Centers,All Centers,Kentucky,1 Year to < 2 Years,201,42,0.0,9,11
All Centers,All Centers,All Centers,Kentucky,2 Years to < 3 Years,113,18,0.0,3,4
All Centers,All Centers,All Centers,Kentucky,3 Years to < 5 Years,92,16,0.0,1,3
All Centers,All Centers,All Centers,Kentucky,5 or More Years,28,9,0.0,0,0
All Centers,All Centers,All Centers,Louisiana,All Time,"1,735",134,3.0,32,58
All Centers,All Centers,All Centers,Louisiana,< 30 Days,44,10,0.0,4,4
All Centers,All Centers,All Centers,Louisiana,30 to < 90 Days,89,17,1.0,5,6
All Centers,All Centers,All Centers,Louisiana,90 Days to < 6 Months,169,16,0.0,3,3
All Centers,All Centers,All Centers,Louisiana,6 Months to < 1 Year,190,17,1.0,8,4
All Centers,All Centers,All Centers,Louisiana,1 Year to < 2 Years,417,28,1.0,6,11
All Centers,All Centers,All Centers,Louisiana,2 Years to < 3 Years,319,23,0.0,3,17
All Centers,All Centers,All Centers,Louisiana,3 Years to < 5 Years,311,12,0.0,3,11
All Centers,All Centers,All Centers,Louisiana,5 or More Years,196,11,0.0,0,2
All Centers,All Centers,All Centers,Maine,All Time,167,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,< 30 Days,16,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,30 to < 90 Days,21,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,30 to < 90 Days,21,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,90 Days to < 6 Months,28,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,6 Months to < 1 Year,17,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,1 Year to < 2 Years,34,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,2 Years to < 3 Years,19,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,3 Years to < 5 Years,19,0,0.0,0,0
All Centers,All Centers,All Centers,Maine,5 or More Years,13,0,0.0,0,0
All Centers,All Centers,All Centers,Maryland,All Time,"2,080",655,25.0,25,84
All Centers,All Centers,All Centers,Maryland,< 30 Days,61,25,2.0,2,5
All Centers,All Centers,All Centers,Maryland,30 to < 90 Days,68,28,1.0,3,4
All Centers,All Centers,All Centers,Maryland,90 Days to < 6 Months,116,52,5.0,5,6
All Centers,All Centers,All Centers,Maryland,6 Months to < 1 Year,214,68,4.0,3,11
All Centers,All Centers,All Centers,Maryland,1 Year to < 2 Years,429,108,4.0,7,11
All Centers,All Centers,All Centers,Maryland,2 Years to < 3 Years,335,70,3.0,1,21
All Centers,All Centers,All Centers,Maryland,3 Years to < 5 Years,431,117,2.0,2,16
All Centers,All Centers,All Centers,Maryland,5 or More Years,448,187,4.0,3,10
All Centers,All Centers,All Centers,Massachusetts,All Time,"3,314",959,42.0,66,184
All Centers,All Centers,All Centers,Massachusetts,< 30 Days,120,50,1.0,1,11
All Centers,All Centers,All Centers,Massachusetts,30 to < 90 Days,189,56,2.0,6,15
All Centers,All Centers,All Centers,Massachusetts,90 Days to < 6 Months,309,101,2.0,9,24
All Centers,All Centers,All Centers,Massachusetts,6 Months to < 1 Year,315,141,3.0,6,15
All Centers,All Centers,All Centers,Massachusetts,1 Year to < 2 Years,782,219,10.0,21,35
All Centers,All Centers,All Centers,Massachusetts,2 Years to < 3 Years,600,127,13.0,15,27
All Centers,All Centers,All Centers,Massachusetts,3 Years to < 5 Years,695,131,8.0,5,31
All Centers,All Centers,All Centers,Massachusetts,5 or More Years,340,134,3.0,3,26
All Centers,All Centers,All Centers,Michigan,All Time,"2,134",241,31.0,33,138
All Centers,All Centers,All Centers,Michigan,< 30 Days,81,17,0.0,1,5
All Centers,All Centers,All Centers,Michigan,30 to < 90 Days,120,21,2.0,6,7
All Centers,All Centers,All Centers,Michigan,90 Days to < 6 Months,170,29,5.0,5,14
All Centers,All Centers,All Centers,Michigan,6 Months to < 1 Year,240,40,5.0,4,23
All Centers,All Centers,All Centers,Michigan,1 Year to < 2 Years,500,41,5.0,6,37
All Centers,All Centers,All Centers,Michigan,2 Years to < 3 Years,379,31,4.0,4,21
All Centers,All Centers,All Centers,Michigan,3 Years to < 5 Years,358,31,6.0,2,21
All Centers,All Centers,All Centers,Michigan,5 or More Years,288,31,4.0,5,10
All Centers,All Centers,All Centers,Minnesota,All Time,"2,104",190,129.0,161,122
All Centers,All Centers,All Centers,Minnesota,< 30 Days,72,23,4.0,4,7
All Centers,All Centers,All Centers,Minnesota,30 to < 90 Days,119,36,5.0,5,11
All Centers,All Centers,All Centers,Minnesota,90 Days to < 6 Months,175,27,12.0,9,11
All Centers,All Centers,All Centers,Minnesota,6 Months to < 1 Year,215,18,9.0,18,6
All Centers,All Centers,All Centers,Minnesota,1 Year to < 2 Years,467,31,21.0,40,23
All Centers,All Centers,All Centers,Minnesota,2 Years to < 3 Years,354,21,18.0,31,15
All Centers,All Centers,All Centers,Minnesota,3 Years to < 5 Years,368,14,18.0,27,23
All Centers,All Centers,All Centers,Minnesota,3 Years to < 5 Years,368,14,18.0,27,23
All Centers,All Centers,All Centers,Minnesota,5 or More Years,348,20,43.0,27,26
All Centers,All Centers,All Centers,Mississippi,All Time,899,32,0.0,6,19
All Centers,All Centers,All Centers,Mississippi,< 30 Days,26,2,0.0,1,1
All Centers,All Centers,All Centers,Mississippi,30 to < 90 Days,58,4,0.0,0,1
All Centers,All Centers,All Centers,Mississippi,90 Days to < 6 Months,113,5,0.0,1,2
All Centers,All Centers,All Centers,Mississippi,6 Months to < 1 Year,108,12,0.0,1,1
All Centers,All Centers,All Centers,Mississippi,1 Year to < 2 Years,250,6,0.0,2,8
All Centers,All Centers,All Centers,Mississippi,2 Years to < 3 Years,150,2,0.0,0,4
All Centers,All Centers,All Centers,Mississippi,3 Years to < 5 Years,111,1,0.0,1,1
All Centers,All Centers,All Centers,Mississippi,5 or More Years,83,0,0.0,0,1
All Centers,All Centers,All Centers,Missouri,All Time,"1,419",117,2.0,24,61
All Centers,All Centers,All Centers,Missouri,< 30 Days,80,24,2.0,3,4
All Centers,All Centers,All Centers,Missouri,30 to < 90 Days,98,18,0.0,2,10
All Centers,All Centers,All Centers,Missouri,90 Days to < 6 Months,151,17,0.0,4,14
All Centers,All Centers,All Centers,Missouri,6 Months to < 1 Year,185,24,0.0,5,6
All Centers,All Centers,All Centers,Missouri,1 Year to < 2 Years,337,17,0.0,6,12
All Centers,All Centers,All Centers,Missouri,2 Years to < 3 Years,229,6,0.0,2,7
All Centers,All Centers,All Centers,Missouri,3 Years to < 5 Years,189,6,0.0,0,5
All Centers,All Centers,All Centers,Missouri,5 or More Years,157,5,0.0,2,3
All Centers,All Centers,All Centers,Nebraska,All Time,182,92,11.0,1,37
All Centers,All Centers,All Centers,Nebraska,< 30 Days,13,9,0.0,0,2
All Centers,All Centers,All Centers,Nebraska,30 to < 90 Days,17,6,0.0,0,2
All Centers,All Centers,All Centers,Nebraska,90 Days to < 6 Months,18,11,1.0,0,1
All Centers,All Centers,All Centers,Nebraska,6 Months to < 1 Year,27,11,4.0,0,8
All Centers,All Centers,All Centers,Nebraska,1 Year to < 2 Years,54,14,2.0,0,9
All Centers,All Centers,All Centers,Nebraska,2 Years to < 3 Years,32,8,1.0,0,11
All Centers,All Centers,All Centers,Nebraska,3 Years to < 5 Years,17,14,2.0,1,3
All Centers,All Centers,All Centers,Nebraska,5 or More Years,4,19,1.0,0,1
All Centers,All Centers,All Centers,Nevada,All Time,190,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,< 30 Days,7,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,30 to < 90 Days,26,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,90 Days to < 6 Months,13,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,6 Months to < 1 Year,29,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,1 Year to < 2 Years,42,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,2 Years to < 3 Years,32,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,3 Years to < 5 Years,27,0,0.0,0,0
All Centers,All Centers,All Centers,Nevada,5 or More Years,14,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,All Time,108,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,< 30 Days,5,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,30 to < 90 Days,11,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,90 Days to < 6 Months,17,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,90 Days to < 6 Months,17,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,6 Months to < 1 Year,14,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,1 Year to < 2 Years,19,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,2 Years to < 3 Years,18,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,3 Years to < 5 Years,21,0,0.0,0,0
All Centers,All Centers,All Centers,New Hampshire,5 or More Years,3,0,0.0,0,0
All Centers,All Centers,All Centers,New Jersey,All Time,"2,328",174,13.0,38,38
All Centers,All Centers,All Centers,New Jersey,< 30 Days,87,12,1.0,1,2
All Centers,All Centers,All Centers,New Jersey,30 to < 90 Days,127,14,1.0,4,3
All Centers,All Centers,All Centers,New Jersey,90 Days to < 6 Months,173,20,2.0,6,6
All Centers,All Centers,All Centers,New Jersey,6 Months to < 1 Year,318,25,1.0,10,5
All Centers,All Centers,All Centers,New Jersey,1 Year to < 2 Years,654,55,5.0,10,9
All Centers,All Centers,All Centers,New Jersey,2 Years to < 3 Years,307,27,2.0,4,11
All Centers,All Centers,All Centers,New Jersey,3 Years to < 5 Years,381,15,1.0,0,2
All Centers,All Centers,All Centers,New Jersey,5 or More Years,285,6,0.0,3,0
All Centers,All Centers,All Centers,New Mexico,All Time,514,0,2.0,3,0
All Centers,All Centers,All Centers,New Mexico,< 30 Days,8,0,0.0,0,0
All Centers,All Centers,All Centers,New Mexico,30 to < 90 Days,16,0,0.0,0,0
All Centers,All Centers,All Centers,New Mexico,90 Days to < 6 Months,28,0,0.0,0,0
All Centers,All Centers,All Centers,New Mexico,6 Months to < 1 Year,50,0,1.0,0,0
All Centers,All Centers,All Centers,New Mexico,1 Year to < 2 Years,120,0,0.0,0,0
All Centers,All Centers,All Centers,New Mexico,2 Years to < 3 Years,116,0,1.0,2,0
All Centers,All Centers,All Centers,New Mexico,3 Years to < 5 Years,96,0,0.0,1,0
All Centers,All Centers,All Centers,New Mexico,5 or More Years,82,0,0.0,0,0
All Centers,All Centers,All Centers,New York,All Time,"7,555",823,168.0,145,331
All Centers,All Centers,All Centers,New York,< 30 Days,216,45,12.0,13,25
All Centers,All Centers,All Centers,New York,30 to < 90 Days,290,56,7.0,12,30
All Centers,All Centers,All Centers,New York,90 Days to < 6 Months,532,99,13.0,22,36
All Centers,All Centers,All Centers,New York,6 Months to < 1 Year,763,112,27.0,28,37
All Centers,All Centers,All Centers,New York,1 Year to < 2 Years,"1,776",195,30.0,35,70
All Centers,All Centers,All Centers,New York,2 Years to < 3 Years,"1,300",102,22.0,18,54
All Centers,All Centers,All Centers,New York,3 Years to < 5 Years,"1,387",105,29.0,12,45
All Centers,All Centers,All Centers,New York,5 or More Years,"1,342",110,28.0,5,34
All Centers,All Centers,All Centers,North Carolina,All Time,"2,901",173,47.0,84,94
All Centers,All Centers,All Centers,North Carolina,< 30 Days,109,19,2.0,9,15
All Centers,All Centers,All Centers,North Carolina,30 to < 90 Days,177,18,2.0,5,12
All Centers,All Centers,All Centers,North Carolina,90 Days to < 6 Months,255,24,6.0,13,11
All Centers,All Centers,All Centers,North Carolina,6 Months to < 1 Year,438,35,10.0,21,10
All Centers,All Centers,All Centers,North Carolina,1 Year to < 2 Years,763,32,17.0,22,23
All Centers,All Centers,All Centers,North Carolina,2 Years to < 3 Years,502,21,6.0,9,12
All Centers,All Centers,All Centers,North Carolina,3 Years to < 5 Years,489,9,2.0,3,6
All Centers,All Centers,All Centers,North Carolina,5 or More Years,270,16,2.0,3,5
All Centers,All Centers,All Centers,North Carolina,5 or More Years,270,16,2.0,3,5
All Centers,All Centers,All Centers,North Dakota,All Time,149,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,< 30 Days,5,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,30 to < 90 Days,12,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,90 Days to < 6 Months,16,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,6 Months to < 1 Year,26,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,1 Year to < 2 Years,20,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,2 Years to < 3 Years,24,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,3 Years to < 5 Years,29,0,0.0,0,0
All Centers,All Centers,All Centers,North Dakota,5 or More Years,17,0,0.0,0,0
All Centers,All Centers,All Centers,Ohio,All Time,"2,247",518,36.0,57,199
All Centers,All Centers,All Centers,Ohio,< 30 Days,133,50,2.0,4,21
All Centers,All Centers,All Centers,Ohio,30 to < 90 Days,183,45,4.0,5,17
All Centers,All Centers,All Centers,Ohio,90 Days to < 6 Months,300,66,6.0,12,35
All Centers,All Centers,All Centers,Ohio,6 Months to < 1 Year,369,84,3.0,12,36
All Centers,All Centers,All Centers,Ohio,1 Year to < 2 Years,569,107,7.0,17,38
All Centers,All Centers,All Centers,Ohio,2 Years to < 3 Years,312,50,3.0,2,24
All Centers,All Centers,All Centers,Ohio,3 Years to < 5 Years,206,64,7.0,3,20
All Centers,All Centers,All Centers,Ohio,5 or More Years,225,53,4.0,4,9
All Centers,All Centers,All Centers,Oklahoma,All Time,474,104,1.0,16,24
All Centers,All Centers,All Centers,Oklahoma,< 30 Days,54,12,0.0,3,1
All Centers,All Centers,All Centers,Oklahoma,30 to < 90 Days,43,9,0.0,2,1
All Centers,All Centers,All Centers,Oklahoma,90 Days to < 6 Months,49,14,0.0,1,7
All Centers,All Centers,All Centers,Oklahoma,6 Months to < 1 Year,69,16,0.0,1,7
All Centers,All Centers,All Centers,Oklahoma,1 Year to < 2 Years,148,12,1.0,4,2
All Centers,All Centers,All Centers,Oklahoma,2 Years to < 3 Years,63,8,0.0,3,3
All Centers,All Centers,All Centers,Oklahoma,3 Years to < 5 Years,34,20,0.0,1,3
All Centers,All Centers,All Centers,Oklahoma,5 or More Years,17,13,0.0,1,0
All Centers,All Centers,All Centers,Oregon,All Time,744,100,2.0,12,8
All Centers,All Centers,All Centers,Oregon,< 30 Days,36,7,0.0,1,2
All Centers,All Centers,All Centers,Oregon,30 to < 90 Days,62,13,0.0,1,2
All Centers,All Centers,All Centers,Oregon,90 Days to < 6 Months,85,19,1.0,2,3
