,Center Name,Center States,Wait Time,Kidney,Liver,Pancreas,Heart
615,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,2 Years to < 3 Years,31,3,0.0,0
616,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,3 Years to < 5 Years,17,1,0.0,0
617,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,5 or More Years,2,0,0.0,0
620,AZSM-TX1 Scottsdale Healthcare Osborn,Arizona,All Time,10,0,0.0,0
621,AZSM-TX1 Scottsdale Healthcare Osborn,Arizona,5 or More Years,10,0,0.0,0
632,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,All Time,114,9,0.0,1
633,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,< 30 Days,9,6,0.0,0
634,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,30 to < 90 Days,9,1,0.0,0
635,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,90 Days to < 6 Months,9,1,0.0,0
636,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,6 Months to < 1 Year,22,0,0.0,0
637,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,1 Year to < 2 Years,38,0,0.0,1
638,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,2 Years to < 3 Years,11,1,0.0,0
639,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,3 Years to < 5 Years,8,0,0.0,0
640,AZUA-TX1 Banner University Medical Center-Tucson,Arizona,5 or More Years,8,0,0.0,0
643,CABE-TX1 Saint Bernardine Medical Center,California,All Time,1,0,0.0,0
644,CABE-TX1 Saint Bernardine Medical Center,California,5 or More Years,1,0,0.0,0
654,CACH-TX1 Rady Children's Hospital and Health Center,California,All Time,31,0,0.0,4
655,CACH-TX1 Rady Children's Hospital and Health Center,California,< 30 Days,1,0,0.0,0
656,CACH-TX1 Rady Children's Hospital and Health Center,California,30 to < 90 Days,3,0,0.0,1
657,CACH-TX1 Rady Children's Hospital and Health Center,California,90 Days to < 6 Months,2,0,0.0,1
658,CACH-TX1 Rady Children's Hospital and Health Center,California,6 Months to < 1 Year,10,0,0.0,2
659,CACH-TX1 Rady Children's Hospital and Health Center,California,1 Year to < 2 Years,4,0,0.0,0
660,CACH-TX1 Rady Children's Hospital and Health Center,California,2 Years to < 3 Years,4,0,0.0,0
661,CACH-TX1 Rady Children's Hospital and Health Center,California,3 Years to < 5 Years,4,0,0.0,0
662,CACH-TX1 Rady Children's Hospital and Health Center,California,5 or More Years,3,0,0.0,0
673,CACL-TX1 Childrens Hospital Los Angeles,California,All Time,28,31,0.0,8
674,CACL-TX1 Childrens Hospital Los Angeles,California,< 30 Days,2,2,0.0,1
675,CACL-TX1 Childrens Hospital Los Angeles,California,30 to < 90 Days,1,7,0.0,1
676,CACL-TX1 Childrens Hospital Los Angeles,California,90 Days to < 6 Months,5,3,0.0,2
677,CACL-TX1 Childrens Hospital Los Angeles,California,6 Months to < 1 Year,10,6,0.0,1
678,CACL-TX1 Childrens Hospital Los Angeles,California,1 Year to < 2 Years,5,5,0.0,0
679,CACL-TX1 Childrens Hospital Los Angeles,California,2 Years to < 3 Years,3,4,0.0,2
680,CACL-TX1 Childrens Hospital Los Angeles,California,3 Years to < 5 Years,1,3,0.0,1
681,CACL-TX1 Childrens Hospital Los Angeles,California,5 or More Years,1,1,0.0,0
691,CACS-TX1 Cedars-Sinai Medical Center,California,All Time,1192,132,3.0,92
692,CACS-TX1 Cedars-Sinai Medical Center,California,< 30 Days,47,8,0.0,7
693,CACS-TX1 Cedars-Sinai Medical Center,California,30 to < 90 Days,54,12,0.0,10
694,CACS-TX1 Cedars-Sinai Medical Center,California,90 Days to < 6 Months,111,30,0.0,12
695,CACS-TX1 Cedars-Sinai Medical Center,California,6 Months to < 1 Year,126,15,0.0,17
696,CACS-TX1 Cedars-Sinai Medical Center,California,1 Year to < 2 Years,206,18,1.0,17
697,CACS-TX1 Cedars-Sinai Medical Center,California,2 Years to < 3 Years,138,9,2.0,11
698,CACS-TX1 Cedars-Sinai Medical Center,California,3 Years to < 5 Years,249,6,0.0,9
699,CACS-TX1 Cedars-Sinai Medical Center,California,5 or More Years,261,34,0.0,9
709,CAGH-TX1 Scripps Green Hospital,California,All Time,417,55,3.0,0
710,CAGH-TX1 Scripps Green Hospital,California,< 30 Days,15,6,0.0,0
711,CAGH-TX1 Scripps Green Hospital,California,30 to < 90 Days,12,1,0.0,0
712,CAGH-TX1 Scripps Green Hospital,California,90 Days to < 6 Months,34,9,0.0,0
713,CAGH-TX1 Scripps Green Hospital,California,6 Months to < 1 Year,41,9,0.0,0
715,CAGH-TX1 Scripps Green Hospital,California,1 Year to < 2 Years,58,10,2.0,0
716,CAGH-TX1 Scripps Green Hospital,California,2 Years to < 3 Years,45,6,1.0,0
717,CAGH-TX1 Scripps Green Hospital,California,3 Years to < 5 Years,96,4,0.0,0
718,CAGH-TX1 Scripps Green Hospital,California,5 or More Years,116,10,0.0,0
728,CAIM-TX1 University of California Irvine Medical Center,California,All Time,738,0,0.0,0
729,CAIM-TX1 University of California Irvine Medical Center,California,< 30 Days,13,0,0.0,0
730,CAIM-TX1 University of California Irvine Medical Center,California,30 to < 90 Days,28,0,0.0,0
731,CAIM-TX1 University of California Irvine Medical Center,California,90 Days to < 6 Months,47,0,0.0,0
732,CAIM-TX1 University of California Irvine Medical Center,California,6 Months to < 1 Year,73,0,0.0,0
733,CAIM-TX1 University of California Irvine Medical Center,California,1 Year to < 2 Years,131,0,0.0,0
734,CAIM-TX1 University of California Irvine Medical Center,California,2 Years to < 3 Years,103,0,0.0,0
735,CAIM-TX1 University of California Irvine Medical Center,California,3 Years to < 5 Years,160,0,0.0,0
736,CAIM-TX1 University of California Irvine Medical Center,California,5 or More Years,183,0,0.0,0
746,CALA-TX1 Harbor UCLA Medical Center,California,All Time,509,0,0.0,0
747,CALA-TX1 Harbor UCLA Medical Center,California,< 30 Days,6,0,0.0,0
748,CALA-TX1 Harbor UCLA Medical Center,California,30 to < 90 Days,8,0,0.0,0
749,CALA-TX1 Harbor UCLA Medical Center,California,90 Days to < 6 Months,22,0,0.0,0
750,CALA-TX1 Harbor UCLA Medical Center,California,6 Months to < 1 Year,71,0,0.0,0
751,CALA-TX1 Harbor UCLA Medical Center,California,1 Year to < 2 Years,54,0,0.0,0
752,CALA-TX1 Harbor UCLA Medical Center,California,2 Years to < 3 Years,89,0,0.0,0
753,CALA-TX1 Harbor UCLA Medical Center,California,3 Years to < 5 Years,107,0,0.0,0
754,CALA-TX1 Harbor UCLA Medical Center,California,5 or More Years,152,0,0.0,0
758,CALB-TX1 St Mary Medical Center,California,All Time,1,0,0.0,0
759,CALB-TX1 St Mary Medical Center,California,5 or More Years,1,0,0.0,0
769,CALL-TX1 Loma Linda University Medical Center,California,All Time,1363,99,5.0,18
770,CALL-TX1 Loma Linda University Medical Center,California,< 30 Days,25,7,0.0,6
771,CALL-TX1 Loma Linda University Medical Center,California,30 to < 90 Days,37,7,0.0,0
772,CALL-TX1 Loma Linda University Medical Center,California,90 Days to < 6 Months,86,18,1.0,3
773,CALL-TX1 Loma Linda University Medical Center,California,6 Months to < 1 Year,156,27,2.0,1
774,CALL-TX1 Loma Linda University Medical Center,California,1 Year to < 2 Years,281,18,2.0,2
775,CALL-TX1 Loma Linda University Medical Center,California,2 Years to < 3 Years,221,4,0.0,4
776,CALL-TX1 Loma Linda University Medical Center,California,3 Years to < 5 Years,295,9,0.0,1
777,CALL-TX1 Loma Linda University Medical Center,California,5 or More Years,262,9,0.0,1
787,CAMB-TX1 UCSF Medical Center at Mission Bay,California,All Time,53,6,0.0,0
788,CAMB-TX1 UCSF Medical Center at Mission Bay,California,< 30 Days,1,0,0.0,0
789,CAMB-TX1 UCSF Medical Center at Mission Bay,California,30 to < 90 Days,4,2,0.0,0
790,CAMB-TX1 UCSF Medical Center at Mission Bay,California,90 Days to < 6 Months,6,0,0.0,0
791,CAMB-TX1 UCSF Medical Center at Mission Bay,California,6 Months to < 1 Year,2,0,0.0,0
792,CAMB-TX1 UCSF Medical Center at Mission Bay,California,1 Year to < 2 Years,7,2,0.0,0
793,CAMB-TX1 UCSF Medical Center at Mission Bay,California,2 Years to < 3 Years,4,0,0.0,0
794,CAMB-TX1 UCSF Medical Center at Mission Bay,California,3 Years to < 5 Years,15,2,0.0,0
795,CAMB-TX1 UCSF Medical Center at Mission Bay,California,5 or More Years,14,0,0.0,0
806,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,All Time,137,14,3.0,11
807,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,< 30 Days,1,2,1.0,0
808,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,30 to < 90 Days,8,1,0.0,2
809,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,90 Days to < 6 Months,13,3,1.0,3
810,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,6 Months to < 1 Year,17,1,0.0,0
811,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,1 Year to < 2 Years,32,4,1.0,2
812,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,2 Years to < 3 Years,31,1,0.0,1
813,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,3 Years to < 5 Years,19,2,0.0,3
814,CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,California,5 or More Years,16,0,0.0,0
824,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,All Time,1879,245,2.0,8
825,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,< 30 Days,29,6,1.0,0
826,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,30 to < 90 Days,67,14,0.0,0
827,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,90 Days to < 6 Months,127,25,0.0,0
828,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,6 Months to < 1 Year,196,39,0.0,3
829,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,1 Year to < 2 Years,390,47,0.0,1
830,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,2 Years to < 3 Years,336,25,1.0,2
831,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,3 Years to < 5 Years,388,32,0.0,2
832,CAPM-TX1 California Pacific Medical Center-Van Ness Campus,California,5 or More Years,346,57,0.0,0
843,CASD-TX1 University of California San Diego Medical Center,California,All Time,807,136,0.0,36
844,CASD-TX1 University of California San Diego Medical Center,California,< 30 Days,17,10,0.0,5
845,CASD-TX1 University of California San Diego Medical Center,California,30 to < 90 Days,27,9,0.0,4
846,CASD-TX1 University of California San Diego Medical Center,California,90 Days to < 6 Months,70,16,0.0,6
847,CASD-TX1 University of California San Diego Medical Center,California,6 Months to < 1 Year,119,26,0.0,7
848,CASD-TX1 University of California San Diego Medical Center,California,1 Year to < 2 Years,204,36,0.0,7
849,CASD-TX1 University of California San Diego Medical Center,California,2 Years to < 3 Years,85,22,0.0,3
850,CASD-TX1 University of California San Diego Medical Center,California,3 Years to < 5 Years,140,11,0.0,2
851,CASD-TX1 University of California San Diego Medical Center,California,5 or More Years,145,6,0.0,2
861,CASF-TX1 University of California San Francisco Medical Center,California,All Time,4667,585,19.0,24
862,CASF-TX1 University of California San Francisco Medical Center,California,< 30 Days,42,21,0.0,0
863,CASF-TX1 University of California San Francisco Medical Center,California,30 to < 90 Days,122,26,1.0,0
864,CASF-TX1 University of California San Francisco Medical Center,California,90 Days to < 6 Months,228,43,0.0,7
865,CASF-TX1 University of California San Francisco Medical Center,California,6 Months to < 1 Year,323,78,0.0,1
866,CASF-TX1 University of California San Francisco Medical Center,California,1 Year to < 2 Years,811,124,3.0,9
867,CASF-TX1 University of California San Francisco Medical Center,California,2 Years to < 3 Years,678,83,1.0,2
868,CASF-TX1 University of California San Francisco Medical Center,California,3 Years to < 5 Years,909,70,5.0,5
869,CASF-TX1 University of California San Francisco Medical Center,California,5 or More Years,1554,140,9.0,0
876,CASG-TX1 Sutter Medical Center Sacramento,California,All Time,0,0,0.0,9
877,CASG-TX1 Sutter Medical Center Sacramento,California,< 30 Days,0,0,0.0,1
878,CASG-TX1 Sutter Medical Center Sacramento,California,6 Months to < 1 Year,0,0,0.0,2
879,CASG-TX1 Sutter Medical Center Sacramento,California,1 Year to < 2 Years,0,0,0.0,2
880,CASG-TX1 Sutter Medical Center Sacramento,California,2 Years to < 3 Years,0,0,0.0,1
881,CASG-TX1 Sutter Medical Center Sacramento,California,3 Years to < 5 Years,0,0,0.0,3
892,CASH-TX1 Sharp Memorial Hospital,California,All Time,550,0,3.0,11
893,CASH-TX1 Sharp Memorial Hospital,California,< 30 Days,23,0,0.0,4
894,CASH-TX1 Sharp Memorial Hospital,California,30 to < 90 Days,38,0,0.0,0
895,CASH-TX1 Sharp Memorial Hospital,California,90 Days to < 6 Months,44,0,0.0,1
896,CASH-TX1 Sharp Memorial Hospital,California,6 Months to < 1 Year,63,0,1.0,1
897,CASH-TX1 Sharp Memorial Hospital,California,1 Year to < 2 Years,121,0,0.0,3
898,CASH-TX1 Sharp Memorial Hospital,California,2 Years to < 3 Years,92,0,1.0,2
899,CASH-TX1 Sharp Memorial Hospital,California,3 Years to < 5 Years,87,0,0.0,0
900,CASH-TX1 Sharp Memorial Hospital,California,5 or More Years,82,0,1.0,0
910,CASJ-TX1 Saint Joseph Hospital,California,All Time,357,0,0.0,0
911,CASJ-TX1 Saint Joseph Hospital,California,< 30 Days,1,0,0.0,0
912,CASJ-TX1 Saint Joseph Hospital,California,30 to < 90 Days,5,0,0.0,0
913,CASJ-TX1 Saint Joseph Hospital,California,90 Days to < 6 Months,5,0,0.0,0
914,CASJ-TX1 Saint Joseph Hospital,California,6 Months to < 1 Year,7,0,0.0,0
915,CASJ-TX1 Saint Joseph Hospital,California,1 Year to < 2 Years,75,0,0.0,0
916,CASJ-TX1 Saint Joseph Hospital,California,2 Years to < 3 Years,76,0,0.0,0
917,CASJ-TX1 Saint Joseph Hospital,California,3 Years to < 5 Years,100,0,0.0,0
918,CASJ-TX1 Saint Joseph Hospital,California,5 or More Years,88,0,0.0,0
929,CASM-TX1 University of California Davis Medical Center,California,All Time,1665,0,0.0,0
930,CASM-TX1 University of California Davis Medical Center,California,< 30 Days,33,0,0.0,0
931,CASM-TX1 University of California Davis Medical Center,California,30 to < 90 Days,60,0,0.0,0
932,CASM-TX1 University of California Davis Medical Center,California,90 Days to < 6 Months,115,0,0.0,0
933,CASM-TX1 University of California Davis Medical Center,California,6 Months to < 1 Year,240,0,0.0,0
934,CASM-TX1 University of California Davis Medical Center,California,1 Year to < 2 Years,411,0,0.0,0
935,CASM-TX1 University of California Davis Medical Center,California,2 Years to < 3 Years,315,0,0.0,0
936,CASM-TX1 University of California Davis Medical Center,California,3 Years to < 5 Years,314,0,0.0,0
937,CASM-TX1 University of California Davis Medical Center,California,5 or More Years,177,0,0.0,0
947,CASU-TX1 Stanford Health Care,California,All Time,1834,224,1.0,17
948,CASU-TX1 Stanford Health Care,California,< 30 Days,33,8,0.0,3
949,CASU-TX1 Stanford Health Care,California,30 to < 90 Days,47,9,1.0,3
950,CASU-TX1 Stanford Health Care,California,90 Days to < 6 Months,126,20,0.0,1
951,CASU-TX1 Stanford Health Care,California,6 Months to < 1 Year,100,33,0.0,3
952,CASU-TX1 Stanford Health Care,California,1 Year to < 2 Years,304,37,0.0,3
953,CASU-TX1 Stanford Health Care,California,2 Years to < 3 Years,307,28,0.0,1
954,CASU-TX1 Stanford Health Care,California,3 Years to < 5 Years,450,24,0.0,1
955,CASU-TX1 Stanford Health Care,California,5 or More Years,467,65,0.0,2
958,CASV-TX1 St. Vincent Medical Center,California,All Time,1,0,0.0,0
959,CASV-TX1 St. Vincent Medical Center,California,1 Year to < 2 Years,1,0,0.0,0
970,CAUC-TX1 University of California at Los Angeles Medical Center,California,All Time,1930,502,21.0,28
971,CAUC-TX1 University of California at Los Angeles Medical Center,California,< 30 Days,39,19,0.0,6
972,CAUC-TX1 University of California at Los Angeles Medical Center,California,30 to < 90 Days,86,34,0.0,4
973,CAUC-TX1 University of California at Los Angeles Medical Center,California,90 Days to < 6 Months,116,53,1.0,4
974,CAUC-TX1 University of California at Los Angeles Medical Center,California,6 Months to < 1 Year,179,83,2.0,4
975,CAUC-TX1 University of California at Los Angeles Medical Center,California,1 Year to < 2 Years,370,132,2.0,2
976,CAUC-TX1 University of California at Los Angeles Medical Center,California,2 Years to < 3 Years,302,45,3.0,3
977,CAUC-TX1 University of California at Los Angeles Medical Center,California,3 Years to < 5 Years,512,74,4.0,4
978,CAUC-TX1 University of California at Los Angeles Medical Center,California,5 or More Years,326,62,9.0,1
988,CAUH-TX1 Keck Hospital of USC,California,All Time,1400,242,1.0,19
989,CAUH-TX1 Keck Hospital of USC,California,< 30 Days,25,14,0.0,3
990,CAUH-TX1 Keck Hospital of USC,California,30 to < 90 Days,60,12,0.0,5
991,CAUH-TX1 Keck Hospital of USC,California,90 Days to < 6 Months,99,39,0.0,7
992,CAUH-TX1 Keck Hospital of USC,California,6 Months to < 1 Year,163,36,0.0,1
993,CAUH-TX1 Keck Hospital of USC,California,1 Year to < 2 Years,337,40,0.0,1
994,CAUH-TX1 Keck Hospital of USC,California,2 Years to < 3 Years,245,25,0.0,1
995,CAUH-TX1 Keck Hospital of USC,California,3 Years to < 5 Years,202,33,1.0,1
996,CAUH-TX1 Keck Hospital of USC,California,5 or More Years,269,43,0.0,0
1005,COCH-TX1 Children's Hospital Colorado,Colorado,All Time,27,4,0.0,11
1006,COCH-TX1 Children's Hospital Colorado,Colorado,< 30 Days,2,2,0.0,1
1007,COCH-TX1 Children's Hospital Colorado,Colorado,30 to < 90 Days,4,1,0.0,3
1009,COCH-TX1 Children's Hospital Colorado,Colorado,90 Days to < 6 Months,10,1,0.0,0
1010,COCH-TX1 Children's Hospital Colorado,Colorado,6 Months to < 1 Year,6,0,0.0,3
1011,COCH-TX1 Children's Hospital Colorado,Colorado,1 Year to < 2 Years,4,0,0.0,3
1012,COCH-TX1 Children's Hospital Colorado,Colorado,2 Years to < 3 Years,1,0,0.0,0
1013,COCH-TX1 Children's Hospital Colorado,Colorado,3 Years to < 5 Years,0,0,0.0,1
1022,COPM-TX1 Centura Transplant,Colorado,All Time,115,17,0.0,0
1023,COPM-TX1 Centura Transplant,Colorado,< 30 Days,11,4,0.0,0
1024,COPM-TX1 Centura Transplant,Colorado,30 to < 90 Days,26,4,0.0,0
1025,COPM-TX1 Centura Transplant,Colorado,90 Days to < 6 Months,31,3,0.0,0
1026,COPM-TX1 Centura Transplant,Colorado,6 Months to < 1 Year,17,1,0.0,0
1027,COPM-TX1 Centura Transplant,Colorado,1 Year to < 2 Years,3,2,0.0,0
1028,COPM-TX1 Centura Transplant,Colorado,3 Years to < 5 Years,19,3,0.0,0
1029,COPM-TX1 Centura Transplant,Colorado,5 or More Years,8,0,0.0,0
1039,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,All Time,349,68,0.0,0
1040,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,< 30 Days,7,11,0.0,0
1041,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,30 to < 90 Days,12,8,0.0,0
1042,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,90 Days to < 6 Months,17,10,0.0,0
1043,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,6 Months to < 1 Year,29,14,0.0,0
1044,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,1 Year to < 2 Years,77,14,0.0,0
1045,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,2 Years to < 3 Years,54,8,0.0,0
1046,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,3 Years to < 5 Years,78,2,0.0,0
1047,COSL-TX1 Presbyterian/St Luke's Medical Center,Colorado,5 or More Years,75,1,0.0,0
1058,COUC-TX1 University of Colorado Hospital/Health Science Center,Colorado,All Time,849,114,12.0,48
1059,COUC-TX1 University of Colorado Hospital/Health Science Center,Colorado,< 30 Days,27,11,0.0,0
